eu5_modifier,eu5_localization,eu5_category,eu5_type,eu5_format,
excluded_from_paying_imperial_contribution,Excluded from the Imperial Contribution,country,boolean,good,
excluded_from_paying_tithe,Excluded from the Tithe,country,boolean,good,
excommunication_price_cost_modifier,Excommunication Cost Modifier,country,multiplicative,"percent, bad",
exempt_from_tribute_cost_modifier,Exempt from Tribute Cost,country,multiplicative,"percent, bad",
expand_aqueduct_system_cost_modifier,Expand Aqueduct Systems Cost,country,multiplicative,"percent, bad",
expand_rgo_farming_cost_modifier,Expand Farming Cost,country,multiplicative,"percent, bad",
expand_rgo_forestry_cost_modifier,Expand Forestry Cost,country,multiplicative,"percent, bad",
expand_rgo_gathering_cost_modifier,Expand Gathering Cost,country,multiplicative,"percent, bad",
expand_rgo_hunting_cost_modifier,Expand Hunting Cost,country,multiplicative,"percent, bad",
expand_rgo_mining_cost_modifier,Expand Mining Cost,country,multiplicative,"percent, bad",
expected_army_size,Expected Army Size,country,,good,
expected_army_size_modifier,Expected Army Size,country,multiplicative,"percent, good",
expected_navy_size,Expected Navy Size,country,,good,
expected_navy_size_modifier,Expected Navy Size,country,multiplicative,"percent, good",
expected_warscore_modifier,Expected Warscore Modifier,country,multiplicative,good,
expel_tribals,Expel Tribesmen,country,boolean,good,
expensive_estate_building_cost_modifier,Expensive Estate Building Cost,"country, estate",multiplicative,"percent, bad",
experience_decay,Monthly Experience Decay,unit,,"percent, bad",
exploration_maintenance_cost,Exploration Cost,country,,"percent, bad",
exploration_mission_speed,Exploration Monthly Progress,country,,good,
exploration_mission_speed_modifier,Exploration Monthly Progress,country,multiplicative,"percent, good",
exploration_preparation_time_modifier,Exploration Preparation Time Modifier,country,multiplicative,"percent, bad",
export_efficiency,Export Efficiency,country,,"percent, good",
export_impact_on_demand,Export Impact on Demand,country,,"percent, good",
extend_regency_cost_modifier,Cost of Extending Regencies,country,multiplicative,"percent, bad",
fate_of_phoenix_actions_price_cost_modifier,Fate of the Phoenix Actions Cost Modifier,country,multiplicative,"percent, bad",
favor_buddhist_schools_from_religious_sects_cost_modifier,Cost of Favor Buddhism Schools Action,country,multiplicative,"percent, bad",
favor_god_cost_modifier,Favor a God Cost,country,multiplicative,"percent, bad",
favor_kami_worship_from_religious_sects_cost_modifier,Cost of Favor Kami Worship Action,country,multiplicative,"percent, bad",
favoring_buddhism,Allows Sects,country,boolean,good,
female_spouses,Maximum Amount of Female Spouses,country,,good,
flatland_proximity_impact,Flatland Proximity Impact,country,,"percent, bad",
flatland_wasteland_proximity_impact,Flatland Wasteland Proximity Impact,country,,"percent, bad",
food_consumption_modifier,Unit Food Consumption,unit,multiplicative,"percent, bad",
food_purchase_cost,Cost of Purchasing Food,country,,"percent, bad",
forbid_marrying_lowborn,Forbid Marriage with Lowborn,country,boolean,bad,
force_army_maintenance,Army Maintenance Minimum 100%,unit,boolean,bad,
force_convert_created_subjects,Force Convert Subjects on Creation,country,boolean,good,
foreign_export_from_market_cost_modifier,Export Cost from Market for Foreign Traders,country,multiplicative,"percent, good",
fort_limit,Fort Limit,country,,good,
fort_limit_modifier,Fort Limit,country,multiplicative,"percent, good",
fort_maintenance_cost,Fortification Maintenance,country,,"percent, bad",
free_building_cost_modifier,Free Building Cost,country,multiplicative,"percent, bad",
gender_equality,Gender Equality,country,boolean,good,
german_migration_attraction_modifier,German Migration Attraction Modifier,country,multiplicative,"percent, good",
get_claim_from_imperial_court_cost_modifier,Cost of Getting a Claim from the Imperial Court,country,multiplicative,"percent, bad",
get_marriage_from_imperial_court_cost_modifier,Cost of Getting Marriage from the Imperial Court,country,multiplicative,"percent, bad",
give_colony_rebellion_support_cost_modifier,Give Colony Rebellion Support Cost Modifier,country,multiplicative,"percent, bad",
give_colony_representation_cost_modifier,Grant Representation to Colonial Subject Cost Modifier,country,multiplicative,"percent, bad",
global_army_levy_size_modifier,Army Levy Size,country,multiplicative,"percent, good",
global_build_buildings_cost,Buildings Cost,country,,"percent, bad",
global_bureaucracy_entrenchment_speed_modifier,Bureaucracy Entrenchment Speed Modifier,country,multiplicative,"percent, bad",
global_bureaucracy_implementation_cost_modifier,Bureaucracy Implementation Cost Modifier,country,multiplicative,"percent, bad",
global_bureaucracy_maintenance_cost_modifier,Bureaucracy Maintenance Cost Modifier,country,multiplicative,"percent, bad",
global_bureaucracy_removal_cost_modifier,Bureaucracy Removal Cost Modifier,country,multiplicative,"percent, bad",
global_burghers_assimilation_blocked,Assimilation of Burghers Blocked,country,boolean,bad,
global_burghers_city_desired_pop,Possible Burghers in Towns and Cities,country,,good,
global_burghers_city_desired_pop_scaled,"Possible Burghers in Towns and Cities for each 1,000 population",country,scaled,"percent, good",
global_burghers_conversion_blocked,Conversion of Burghers Blocked,country,boolean,bad,
global_burghers_desired_pop,Possible Burghers,country,,good,
global_burghers_desired_pop_scaled,"Possible Burghers for each 1,000 population",country,scaled,"percent, good",
global_burghers_estate_power,Burghers Power,"country, estate",,"percent, bad",
global_burghers_food_consumption,Burghers Food Consumption,country,,"percent, bad",
global_burghers_max_literacy,Max Literacy for Burghers,country,,"raw percent, good",
global_burghers_migration_allowed,Allows Burghers to Migrate,country,boolean,good,
global_burghers_pop_growth,Burghers Growth,country,,"percent, good",
global_burghers_rural_desired_pop,Possible Burghers in Rural Locations,country,,good,
global_burghers_rural_desired_pop_scaled,"Possible Burghers in Rural Locations for each 1,000 population",country,scaled,"percent, good",
global_clergy_assimilation_blocked,Assimilation of Clerics Blocked,country,boolean,bad,
global_clergy_city_desired_pop,Possible Clerics in Towns and Cities,country,,good,
global_clergy_city_desired_pop_scaled,"Possible Clerics in Towns and Cities for each 1,000 population",country,scaled,"percent, good",
global_clergy_conversion_blocked,Conversion of Clerics Blocked,country,boolean,bad,
global_clergy_desired_pop,Possible Clerics,country,,good,
global_clergy_desired_pop_scaled,"Possible Clerics for each 1,000 population",country,scaled,"percent, good",
global_clergy_estate_power,Clergy Power,"country, estate",,"percent, bad",
global_clergy_food_consumption,Clergy Food Consumption,country,,"percent, bad",
global_clergy_max_literacy,Max Literacy for Clergy,country,,"raw percent, good",
global_clergy_migration_allowed,Allows Clerics to Migrate,country,boolean,good,
global_clergy_pop_growth,Clerics Growth,country,,"percent, good",
global_clergy_rural_desired_pop,Possible Clerics in Rural Locations,country,,good,
global_clergy_rural_desired_pop_scaled,"Possible Clerics in Rural Locations for each 1,000 population",country,scaled,"percent, good",
global_construction_speed,Construction Speed,country,,"percent, good",
global_cossacks_estate_power,Cossacks Power,"country, estate",,"percent, bad",
global_crown_estate_power,Crown Power,"country, estate",,"percent, good",
global_defensive,Fort Defense,country,,"percent, good",
global_devastation_recovery,Prosperity Recovery,country,,"percent, good",
global_dhimmi_estate_power,Ḏimmī Power,"country, estate",,"percent, bad",
global_disease_resistance,Disease Resistance,country,,"percent, good",
global_distance_from_capital_speed_propagation,Proximity Speed,country,,"percent, good",
global_estate_max_tax,Maximum Tax,"country, estate",,"percent, good",
global_estate_min_tax,Minimum Tax,"country, estate",,"percent, good",
global_estate_power,Estates Power,"country, estate",,"percent, bad",
global_estate_satisfaction_decay,Estates Satisfaction Decay,"country, estate",,"percent, bad",
global_estate_satisfaction_from_legitimacy,Estates Satisfaction Equilibrium from Legitimacy,"country, estate",,"percent, good",
global_estate_satisfaction_recovery,Estates Satisfaction Recovery,"country, estate",,"percent, neutral",
global_estate_target_satisfaction,Estates Satisfaction Equilibrium,"country, estate",,"percent, good",
global_food_capacity,Food Capacity,country,,good,
global_food_capacity_modifier,Food Capacity,country,multiplicative,"percent, good",
global_food_decay,Food Decay,country,,"percent, bad",
global_foreign_build_buildings_cost,Foreign Buildings Cost,country,,"percent, bad",
global_fort_build_buildings_cost,Fort Buildings Cost,country,,"percent, bad",
global_garrison_growth,Garrison Growth,country,,"percent, good",
global_garrison_size_modifier,Garrison Size,country,multiplicative,"percent, good",
global_heathen_pop_conversion_speed_modifier,Heathen Pop Conversion Speed %,country,multiplicative,"percent, good",
global_hellenism_religion_movement_growth_modifier,Global Platonic Revival Movement Growth Modifier,movement,multiplicative,"percent, good",
global_hellenism_religion_movement_resistance_modifier,Global Platonic Revival Movement Resistance Modifier,movement,multiplicative,"percent, good",
global_heretic_pop_conversion_speed_modifier,Heretic Pop Conversion Speed %,country,multiplicative,"percent, good",
global_hostile_attrition,Hostile Attrition,country,,"raw percent, bad",
global_institution_growth_modifier,Institution Growth,country,multiplicative,"percent, good",
global_integration_speed_modifier,Speed of Integration,country,multiplicative,"percent, good",
global_laborers_assimilation_blocked,Assimilation of Laborers Blocked,country,boolean,bad,
global_laborers_city_desired_pop,Possible Laborers in Towns and Cities,country,,good,
global_laborers_city_desired_pop_scaled,"Possible Laborers in Towns and Cities for each 1,000 population",country,scaled,"percent, good",
global_laborers_conversion_blocked,Conversion of Laborers Blocked,country,boolean,bad,
global_laborers_desired_pop,Possible Laborers,country,,good,
global_laborers_desired_pop_scaled,"Possible Laborers for each 1,000 population",country,scaled,"percent, good",
global_laborers_food_consumption,Laborers Food Consumption,country,,"percent, bad",
global_laborers_max_literacy,Max Literacy for Laborers,country,,"raw percent, good",
global_laborers_migration_allowed,Allows Laborers to Migrate,country,boolean,good,
global_laborers_pop_growth,Laborers Growth,country,,"percent, good",
global_laborers_rural_desired_pop,Possible Laborers in Rural Locations,country,,good,
global_laborers_rural_desired_pop_scaled,"Possible Laborers in Rural Locations for each 1,000 population",country,scaled,"percent, good",
global_levy_recruitment_speed_modifier,Levy Recruitment Speed,country,multiplicative,"percent, good",
global_levy_size_modifier,Levy Size,country,multiplicative,"percent, good",
global_life_expectancy,Character Life Expectancy,country,,good,
global_manpower_modifier,Manpower,country,multiplicative,"percent, good",
global_maritime_presence_decay,Maritime Presence Decay,country,,"percent, bad",
global_maritime_presence_modifier,Maritime Presence %,unit,multiplicative,"percent, good",
global_max_bureaucracy_slots,Max Bureaucracy Slots,country,,good,
global_max_control,Max Control,country,,"percent, good",
global_max_literacy,Max Literacy,country,,"raw percent, good",
global_max_rgo_size_modifier,Maximum RGO Size,country,multiplicative,"percent, good",
global_max_rgo_size_modifier_in_non_rural,Maximum RGO Size in Towns & Cities,country,,"percent, good",
global_max_rgo_size_modifier_in_rural,Maximum RGO Size in Rural,country,,"percent, good",
global_max_rural_control,Max Rural Control,country,,"percent, good",
global_max_urban_control,Max Urban Control,country,,"percent, good",
global_may_build_nahuatl_units,May Build Eagle and Jaguar Warriors,country,boolean,good,
global_may_build_paik_units,May Build Paik Units,country,boolean,good,
global_mercenaries_modifier,Mercenary Size,country,multiplicative,"percent, neutral",
global_merchant_capacity_modifier,Trade Capacity,country,multiplicative,"percent, good",
global_merchant_power,Trade Advantage,country,,"percent, good",
global_migration_attraction,Migration Attraction,country,,good,
global_migration_speed,Pop Migration Speed,country,,good,
global_migration_speed_modifier,Pop Migration Speed,country,multiplicative,"percent, good",
global_monthly_art_start_chance,Artist Monthly Start Chance,country,,"percent, good",
global_monthly_control,Monthly Control,country,,"percent, good",
global_monthly_control_decline,Monthly Control Decline,country,,"percent, bad",
global_monthly_development,Monthly Development,country,,good,
global_monthly_food_modifier,Food Production %,country,multiplicative,"percent, good",
global_monthly_literacy,Monthly Literacy,country,,"raw percent, good",
global_monthly_prosperity,Monthly Prosperity,country,,"percent, good",
global_monthly_rural_control,Monthly Rural Control,country,,"percent, good",
global_monthly_urban_control,Monthly Urban Control,country,,"percent, good",
global_navy_levy_size_modifier,Navy Levy Size,country,multiplicative,"percent, good",
global_nobles_assimilation_blocked,Assimilation of Nobles Blocked,country,boolean,bad,
global_nobles_city_desired_pop,Possible Nobles in Towns and Cities,country,,good,
global_nobles_city_desired_pop_scaled,"Possible Nobles in Towns and Cities for each 1,000 population",country,scaled,"percent, good",
global_nobles_conversion_blocked,Conversion of Nobles Blocked,country,boolean,bad,
global_nobles_desired_pop,Possible Nobles,country,,good,
global_nobles_desired_pop_scaled,"Possible Nobles for each 1,000 population",country,scaled,"percent, good",
global_nobles_estate_power,Nobles Power,"country, estate",,"percent, bad",
global_nobles_food_consumption,Nobles Food Consumption,country,,"percent, bad",
global_nobles_max_literacy,Max Literacy for Nobles,country,,"raw percent, good",
global_nobles_migration_allowed,Allows Nobles to Migrate,country,boolean,good,
global_nobles_pop_growth,Nobles Growth,country,,"percent, good",
global_nobles_rural_desired_pop,Possible Nobles in Rural Locations,country,,good,
global_nobles_rural_desired_pop_scaled,"Possible Nobles in Rural Locations for each 1,000 population",country,scaled,"percent, good",
global_non_rural_monthly_development,Monthly Development in Urban Locations,country,,good,
global_non_rural_monthly_prosperity,Monthly Prosperity in Urban Locations,country,,"percent, good",
global_peasant_enfranchisment,Peasant Enfranchisement,country,,"percent, good",
global_peasants_assimilation_blocked,Assimilation of Peasants Blocked,country,boolean,bad,
global_peasants_city_desired_pop,Possible Peasants in Towns and Cities,country,,good,
global_peasants_city_desired_pop_scaled,"Possible Peasants in Towns and Cities for each 1,000 population",country,scaled,"percent, good",
global_peasants_conversion_blocked,Conversion of Peasants Blocked,country,boolean,bad,
global_peasants_desired_pop,Possible Peasants,country,,good,
global_peasants_desired_pop_scaled,"Possible Peasants for each 1,000 population",country,scaled,"percent, good",
global_peasants_estate_power,Peasants Power,"country, estate",,"percent, bad",
global_peasants_food_consumption,Peasants Food Consumption,country,,"percent, bad",
global_peasants_max_literacy,Max Literacy for Peasants,country,,"raw percent, good",
global_peasants_migration_allowed,Allows Peasants to Migrate,country,boolean,good,
global_peasants_pop_growth,Peasants Growth,country,,"percent, good",
global_peasants_rural_desired_pop,Possible Peasants in Rural Locations,country,,good,
global_peasants_rural_desired_pop_scaled,"Possible Peasants in Rural Locations for each 1,000 population",country,scaled,"percent, good",
global_pirate_spawn_chance,Chance for Pirates,country,,"raw percent, bad",
global_pop_assimilation_speed,Pop Assimilation Speed,country,,good,
global_pop_assimilation_speed_modifier,Pop Assimilation Speed,country,multiplicative,"percent, good",
global_pop_conversion_speed,Pop Conversion Speed,country,,good,
global_pop_conversion_speed_modifier,Pop Conversion Speed %,country,multiplicative,"percent, good",
global_pop_demotion_speed,Pop Demotion Speed,country,,bad,
global_pop_demotion_speed_modifier,Pop Demotion Speed,country,multiplicative,"percent, bad",
global_pop_food_consumption,Pop Food Consumption,country,,"percent, bad",
global_pop_promotion_speed,Pop Promotion Speed,country,,good,
global_pop_promotion_speed_modifier,Pop Promotion Speed %,country,multiplicative,"percent, good",
global_population_capacity_modifier,Population Capacity %,country,multiplicative,"percent, good",
global_population_growth,Population Growth,country,,"percent, good",
global_port_build_buildings_cost,Port Buildings Cost,country,,"percent, bad",
global_production_efficiency,Production Efficiency,country,,"percent, good",
global_prosperity_decay,Prosperity Decay,country,,"percent, bad",
global_rgo_build_time,Expanding Raw Materials Time,country,,"percent, bad",
global_road_building_time,Road Building Time,country,,"percent, bad",
global_roman_culture_movement_growth_modifier,Global Latin Revival Movement Growth Modifier,movement,multiplicative,"percent, good",
global_roman_culture_movement_resistance_modifier,Global Latin Revival Movement Resistance Modifier,movement,multiplicative,"percent, good",
global_rural_build_buildings_cost,Rural Buildings Cost,country,,"percent, bad",
global_sailors_modifier,Sailors,country,multiplicative,"percent, good",
global_separatism,Separatism,country,,"percent, bad",
global_slave_pop_satisfaction,Satisfaction of Slaves,country,,"percent, good",
global_slaves_assimilation_blocked,Assimilation of Slaves Blocked,country,boolean,bad,
global_slaves_city_desired_pop,Possible Slaves in Towns and Cities,country,,good,
global_slaves_city_desired_pop_scaled,"Possible Slaves in Towns and Cities for each 1,000 population",country,scaled,"percent, good",
global_slaves_conversion_blocked,Conversion of Slaves Blocked,country,boolean,bad,
global_slaves_desired_pop,Possible Slaves,country,,good,
global_slaves_desired_pop_scaled,"Possible Slaves for each 1,000 population",country,scaled,"percent, good",
global_slaves_food_consumption,Slaves Food Consumption,country,,"percent, bad",
global_slaves_max_literacy,Max Literacy for Slaves,country,,"raw percent, good",
global_slaves_migration_allowed,Allows Slaves to Migrate,country,boolean,good,
global_slaves_pop_growth,Slaves Growth,country,,"percent, good",
global_slaves_rural_desired_pop,Possible Slaves in Rural Locations,country,,good,
global_slaves_rural_desired_pop_scaled,"Possible Slaves in Rural Locations for each 1,000 population",country,scaled,"percent, good",
global_soldiers_assimilation_blocked,Assimilation of Soldiers Blocked,country,boolean,bad,
global_soldiers_city_desired_pop,Possible Soldiers in Towns and Cities,country,,good,
global_soldiers_city_desired_pop_scaled,"Possible Soldiers in Towns and Cities for each 1,000 population",country,scaled,"percent, good",
global_soldiers_conversion_blocked,Conversion of Soldiers Blocked,country,boolean,bad,
global_soldiers_desired_pop,Possible Soldiers,country,,good,
global_soldiers_desired_pop_scaled,"Possible Soldiers for each 1,000 population",country,scaled,"percent, good",
global_soldiers_food_consumption,Soldiers Food Consumption,country,,"percent, bad",
global_soldiers_max_literacy,Max Literacy for Soldiers,country,,"raw percent, good",
global_soldiers_migration_allowed,Allows Soldiers to Migrate,country,boolean,good,
global_soldiers_pop_growth,Soldiers Growth,country,,"percent, good",
global_soldiers_rural_desired_pop,Possible Soldiers in Rural Locations,country,,good,
global_soldiers_rural_desired_pop_scaled,"Possible Soldiers in Rural Locations for each 1,000 population",country,scaled,"percent, good",
global_supply_limit_modifier,Supply Limit,country,multiplicative,"percent, good",
global_trade_center_power,Market Attraction,country,,"percent, good",
global_trade_protection_factor,Market Protection,country,,"percent, good",
global_trade_through_owned_territory_cost_modifier,Trade Range over Owned Land,country,multiplicative,"percent, bad",
global_trades_per_burgher,Burghers Trade Capacity,country,,"percent, good",
global_tribal_promotion,Tribesmen to Peasants,country,,"percent, good",
global_tribes_estate_power,Tribes Power,"country, estate",,"percent, bad",
global_tribesmen_assimilation_blocked,Assimilation of Tribesmen Blocked,country,boolean,bad,
global_tribesmen_city_desired_pop,Possible Tribesmen in Towns and Cities,country,,good,
global_tribesmen_city_desired_pop_scaled,"Possible Tribesmen in Towns and Cities for each 1,000 population",country,scaled,"percent, good",
global_tribesmen_conversion_blocked,Conversion of Tribesmen Blocked,country,boolean,bad,
global_tribesmen_desired_pop,Possible Tribesmen,country,,good,
global_tribesmen_desired_pop_scaled,"Possible Tribesmen for each 1,000 population",country,scaled,"percent, good",
global_tribesmen_food_consumption,Tribesmen Food Consumption,country,,"percent, bad",
global_tribesmen_max_literacy,Max Literacy for Tribesmen,country,,"raw percent, good",
global_tribesmen_migration_allowed,Allows Tribesmen to Migrate,country,boolean,good,
global_tribesmen_pop_growth,Tribesmen Growth,country,,"percent, good",
global_tribesmen_rural_desired_pop,Possible Tribesmen in Rural Locations,country,,good,
global_tribesmen_rural_desired_pop_scaled,"Possible Tribesmen in Rural Locations for each 1,000 population",country,scaled,"percent, good",
global_upper_class_capacity_modifier,Upper-Class Population Capacity,country,multiplicative,"percent, good",
global_urban_build_buildings_cost,Urban Buildings Cost,country,,"percent, bad",
global_war_score_efficiency,War Score Efficiency,country,,"percent, good",
gold_importance_modifier,Gold Importance Modifier,country,multiplicative,good,
government_reform_slots,Possible Government Reforms,country,,good,
government_size,Cabinet Seats,country,,good,
grant_a_triumph_cost_modifier,Grant a Triumph,country,multiplicative,"percent, bad",
grant_cabinet_right_price_cost_modifier,Grant Cabinet Right Cost Modifier,country,multiplicative,"percent, bad",
grant_privilege_cost_modifier,Grant Privilege Cost,country,multiplicative,"percent, bad",
grant_shugo_office_cost_modifier,Grant Shugo Office Cost,country,multiplicative,"percent, bad",
grant_town_rights_cost_modifier,Cost of Granting Urban Rights,country,multiplicative,"percent, bad",
great_power_score,Great Power Score,country,,good,
great_power_score_exempt_from_forfeit,Great Power Score (Exempt from Forfeit),country,,good,
great_power_score_modifier,Great Power Score Modifier,country,multiplicative,"percent, good",
greek_festivals_cost_modifier,Revitalize an Ancient Greek Festival,country,multiplicative,"percent, bad",
hanseatic_member_cost_cost_modifier,Hanseatic Membership Fees,country,multiplicative,"percent, bad",
hanseatic_shipwright_guild_max_level,Hanseatic Shipwright Guild Max Level,country,additive,good,
has_a_parliamentary_system,Has a Parliamentary System,country,boolean,good,
has_appanages_subjects,Has Appanages,country,boolean,good,
has_ashta_pradham_council_policies,Can Enact Ashta Pradham Policy,country,boolean,good,
has_chivalric_order,Has Chivalric Order,country,boolean,good,
has_codified_laws,Can Codify Laws,country,boolean,good,
has_complacency_effects,Complacency Impacts,country,boolean,bad,
has_cultural_maintenance,Can Invest in Culture,country,boolean,good,
has_panaqas,Has Panaqas,country,boolean,bad,
has_road_building,Road-building,country,boolean,good,
has_stability_investment,Can Invest in Stability,country,boolean,good,
has_taluqdar_tax_collection,Has Taluqdar Tax Collection,country,boolean,good,
head_of_cabinet_promotion_cost_modifier,Head of the Cabinet Promotion Cost Modifier,country,multiplicative,"percent, bad",
heir_of_any_religion,Heir of Any Religion,country,boolean,neutral,
heir_of_same_religion,Heir of Same Religion,country,boolean,neutral,
heir_of_same_religion_group,Heir of Same Religion Group,country,boolean,neutral,
hide_from_black_death_cost_modifier,Hide from Black Death Cost,country,multiplicative,"percent, bad",
high_lakes_proximity_impact,High lakes Proximity Impact,country,,"percent, bad",
hills_proximity_impact,Hills Proximity Impact,country,,"percent, bad",
hills_wasteland_proximity_impact,Hills Wasteland Proximity Impact,country,,"percent, bad",
hire_advisor_cost_modifier,Hire Advisor Cost,country,multiplicative,"percent, bad",
hire_artist_cost_modifier,Hire Artist Cost,country,multiplicative,"percent, bad",
hire_mercenary_leader_cost_modifier,Hire Mercenary Leader Cost,country,multiplicative,"percent, bad",
hire_mercenary_premium_cost_modifier,Hire Mercenary Premium Cost,country,multiplicative,"percent, bad",
hire_prisoners_cost_modifier,Hire Prisoners Cost,country,multiplicative,"percent, bad",
hire_privateer_cost_modifier,Cost of Hiring Privateers,country,multiplicative,"percent, bad",
hold_public_kirishitan_mass_cost_modifier,Cost of Hold Public Kirishitan Mass Action,country,multiplicative,"percent, bad",
honorary_titles_bureaucracy_impact_modifier,Honorary Titles Impact,country,multiplicative,"percent, good",
honoring_alliance_call_cost_modifier,Honoring Alliance Call Cost,country,multiplicative,"percent, bad",
horde_unity_hit_at_ruler_death,Horde Unity Change on Ruler Death,country,,good,
host_olympiad_cost_modifier,Host Olympiad Cost Modifier,country,multiplicative,"percent, bad",
hostile_diplomatic_annexation_cost,Hostile Diplomatic Annexation Cost,country,,"percent, bad",
hre_army_building_cost_modifier,Imperial Army Building Cost Modifier,country,multiplicative,"percent, bad",
hussite_wars_actions_price_cost_modifier,Hussite Wars Situation Actions Cost Modifier,country,multiplicative,"percent, bad",
hyw_main_actions_price_cost_modifier,Hundred Years' War Main Actions Cost,country,multiplicative,"percent, bad",
ignore_doom,Ignores Doom,country,boolean,good,
ignore_same_religion_colonial_claim,Ignore Religious Colonial Claims,country,boolean,good,
ignore_zone_of_control,Ignore Zone of Control,country,boolean,good,
imperial_army_contribution_price_cost_modifier,Imperial Army Contribution Cost Modifier,country,multiplicative,"percent, neutral",
imperial_authority_modifier,Imperial Authority Modifier,all,multiplicative,"percent, good",
imperial_contribution_price_cost_modifier,Imperial Contribution Cost Modifier,country,multiplicative,"percent, neutral",
imperial_senate_bureaucracy_impact_modifier,Imperial Senate Impact,country,multiplicative,"percent, good",
imperial_treasury_contribution_price_cost_modifier,Imperial Treasury Contribution Cost Modifier,country,multiplicative,"percent, neutral",
implement_bureaucracy_price_cost_modifier,Implement Bureaucracy Price Modifier,country,multiplicative,"percent, bad",
import_efficiency,Import Efficiency,country,,"percent, good",
improve_our_cultural_view_price_cost_modifier,Improve our Cultural opinion Cost Modifier,country,multiplicative,"percent, bad",
improve_relation_impact,Improve Relations,country,,"percent, good",
increase_clergy_satisfaction_from_religious_sects_cost_modifier,Cost of Appease the Temples Action,country,multiplicative,"percent, bad",
increase_levies_from_shogun_court_cost_modifier,Cost of Increase Levies Action,country,multiplicative,"percent, bad",
increase_literacy_from_religious_sects_cost_modifier,Cost of Increase Literacy Action,country,multiplicative,"percent, bad",
increase_peasant_satisfaction_from_ikko_ikki_cost_modifier,Cost of Appease the Commoners Action,country,multiplicative,"percent, bad",
increase_tax_income_from_shogun_court_cost_modifier,Cost of Increase Tax Income Action,country,multiplicative,"percent, bad",
indulge_in_bloodbath_cost_modifier,Indulge in Bloodbath Cost,country,multiplicative,"percent, bad",
indulge_in_feasts_cost_modifier,Indulge in Feasts Cost,country,multiplicative,"percent, bad",
inland_sea_proximity_impact,Inland sea Proximity Impact,country,,"percent, bad",
institution_growth,Institution Growth,country,,good,
institution_importance_modifier,Institution Importance Modifier,country,multiplicative,good,
intervene_in_italian_campaign_price_cost_modifier,Intervene in Italian Campaign Cost,country,multiplicative,"percent, bad",
inti_ceremonial_festivals_cost_modifier,Cost of Host a Ceremony Religious Action,country,multiplicative,"percent, bad",
invade_neighbor_beylik_price_cost_modifier,Invade Neighbor Beylik Cost Modifier,country,multiplicative,"percent, bad",
invite_artist_cost_modifier,Invite Artist Cost,country,multiplicative,"percent, bad",
invite_foreign_cleric_cost_modifier,Invite Foreign Cleric Cost,country,multiplicative,"percent, bad",
invite_patriarch_delegation_cost_modifier,Invite Patriarch Delegation Cost,country,multiplicative,"percent, bad",
invite_religious_figure_different_school_cost_modifier,Invite Religious Figure from New School Cost,country,multiplicative,"percent, bad",
invite_religious_figure_same_school_cost_modifier,Invite Religious Figure from Same School Cost,country,multiplicative,"percent, bad",
irrigant_cap_level,Irrigation Max Level,country,,good,
is_battles_preordained,Everything is Preordained,country,boolean,good,
is_excluded_from_electorship,Excluded from Electorship,country,boolean,bad,
is_hre_elector,Is Elector,country,boolean,good,
is_pope,Is the Pope,country,boolean,good,
is_senior_partner,Is Senior Partner,country,boolean,good,
isolate_cities_black_death_cost_modifier,Isolating the Cities Cost,country,multiplicative,"percent, bad",
iw_send_aid_price_cost_modifier,Send Aid Cost,country,multiplicative,"percent, bad",
join_autocephalous_patriarchate_cost_modifier,Join Autocephalous Patriarchate Cost,country,multiplicative,"percent, bad",
join_branch_cost_modifier,Join Branch Cost,country,multiplicative,"percent, bad",
join_italian_wars_price_cost_modifier,Join a League Cost,country,multiplicative,"percent, bad",
join_sect_cost_modifier,Join Sect Cost,country,multiplicative,bad,
jurchen_confederation_law_price_cost_modifier,Jurchen Confederation Law Cost,country,multiplicative,"percent, bad",
keep_kami_and_buddha_balanced_from_religious_sects_cost_modifier,Cost of Balance Kami and Buddha Action,country,multiplicative,"percent, bad",
kephalai_bureaucracy_impact_modifier,Kephalai Impact,country,multiplicative,"percent, good",
lack_of_control_impact_on_warscore,Control Impact on Warscore,country,,"percent, good",
lakes_proximity_impact,Lakes Proximity Impact,country,,"percent, bad",
land_cost_going_downstream,Proximity Cost of going downstream along a River,country,,bad,
land_cost_going_upstream,Proximity Cost of going upstream along a River,country,,bad,
land_cost_on_distance_from_capital,Land Proximity Cost without infrastructure,country,,bad,
land_cost_on_distance_from_capital_speed_propagation,Proximity Speed through Land,country,,"percent, good",
land_cost_on_frozen_water,Proximity Cost on Frozen Water,country,,bad,
land_morale,Army Morale,unit,,good,
land_morale_attrition_cost,Army Morale Attrition Cost,unit,,"percent, bad",
land_morale_modifier,Army Morale,unit,multiplicative,"percent, good",
land_morale_movement_cost,Army Morale Movement Cost,unit,,"percent, bad",
land_morale_recovery,Army Morale Recovery Speed,unit,,"percent, good",
land_unit_attrition,Army Attrition,unit,,"percent, bad",
landfriede_cooldown,Landfriede Time Delay,country,,bad,
landfriede_flat_cost,Landfriede Cost,country,,bad,
language_change_threshold_modifier,Language Change Threshold Modifier,country,multiplicative,good,
lat_access_to_latin_reintegration_cabinet,Reintegrate Province Cabinet Action,country,boolean,good,
lat_access_to_reconquest_cb,Can Create Latin Reconquest Casus Belli,country,boolean,good,
learn_from_foreigners_cost_modifier,Learn from Foreigners,country,multiplicative,"percent, good",
