eu5_modifier,eu4_matches,confidence,notes,eu5_localization,eu5_category,eu5_type,eu5_format,eu4_subsection,eu4_description,eu4_effect_type
force_convert_created_subjects,,none,EU5-specific subject creation option,Force Convert Subjects on Creation,country,boolean,good,,,
foreign_export_from_market_cost_modifier,,none,EU5-specific trade export cost,Export Cost from Market for Foreign Traders,country,multiplicative,"percent, good",,,
fort_limit,,none,EU5-specific fort limit concept,Fort Limit,country,,good,,,
fort_limit_modifier,,none,EU5-specific fort limit modifier,Fort Limit,country,multiplicative,"percent, good",,,
fort_maintenance_cost,fort_maintenance_modifier,high,Direct equivalent - fort maintenance cost,Fortification Maintenance,country,,"percent, bad",Military,Modifies the base fort maintenance cost.,Multiplicative
free_building_cost_modifier,build_cost,medium,Related building cost but EU5 specifies free/subsidized,Free Building Cost,country,multiplicative,"percent, bad",Economy,Modifies all building costs.,Multiplicative
gender_equality,,none,EU5-specific gender equality flag,Gender Equality,country,boolean,good,,,
german_migration_attraction_modifier,,none,EU5-specific German migration,German Migration Attraction Modifier,country,multiplicative,"percent, good",,,
get_claim_from_imperial_court_cost_modifier,,none,EU5-specific imperial court action,Cost of Getting a Claim from the Imperial Court,country,multiplicative,"percent, bad",,,
get_marriage_from_imperial_court_cost_modifier,,none,EU5-specific imperial court action,Cost of Getting Marriage from the Imperial Court,country,multiplicative,"percent, bad",,,
give_colony_rebellion_support_cost_modifier,,none,EU5-specific colony rebellion action,Give Colony Rebellion Support Cost Modifier,country,multiplicative,"percent, bad",,,
give_colony_representation_cost_modifier,,none,EU5-specific colony representation,Grant Representation to Colonial Subject Cost Modifier,country,multiplicative,"percent, bad",,,
global_army_levy_size_modifier,,none,EU5-specific levy system,Army Levy Size,country,multiplicative,"percent, good",,,
global_build_buildings_cost,build_cost,high,Both modify all building costs,Buildings Cost,country,,"percent, bad",Economy,Modifies all building costs.,Multiplicative
global_bureaucracy_entrenchment_speed_modifier,,none,EU5-specific bureaucracy system,Bureaucracy Entrenchment Speed Modifier,country,multiplicative,"percent, bad",,,
global_bureaucracy_implementation_cost_modifier,,none,EU5-specific bureaucracy system,Bureaucracy Implementation Cost Modifier,country,multiplicative,"percent, bad",,,
global_bureaucracy_maintenance_cost_modifier,,none,EU5-specific bureaucracy system,Bureaucracy Maintenance Cost Modifier,country,multiplicative,"percent, bad",,,
global_bureaucracy_removal_cost_modifier,,none,EU5-specific bureaucracy system,Bureaucracy Removal Cost Modifier,country,multiplicative,"percent, bad",,,
global_burghers_assimilation_blocked,,none,EU5-specific pop assimilation,Assimilation of Burghers Blocked,country,boolean,bad,,,
global_burghers_city_desired_pop,,none,EU5-specific pop capacity,Possible Burghers in Towns and Cities,country,,good,,,
global_burghers_city_desired_pop_scaled,,none,EU5-specific pop capacity,"Possible Burghers in Towns and Cities for each 1,000 population",country,scaled,"percent, good",,,
global_burghers_conversion_blocked,,none,EU5-specific pop conversion,Conversion of Burghers Blocked,country,boolean,bad,,,
global_burghers_desired_pop,,none,EU5-specific pop capacity,Possible Burghers,country,,good,,,
global_burghers_desired_pop_scaled,,none,EU5-specific pop capacity,"Possible Burghers for each 1,000 population",country,scaled,"percent, good",,,
global_burghers_estate_power,,none,EU5-specific estate power,Burghers Power,"country, estate",,"percent, bad",,,
global_burghers_food_consumption,,none,EU5-specific food system,Burghers Food Consumption,country,,"percent, bad",,,
global_burghers_max_literacy,,none,EU5-specific literacy system,Max Literacy for Burghers,country,,"raw percent, good",,,
global_burghers_migration_allowed,,none,EU5-specific migration permission,Allows Burghers to Migrate,country,boolean,good,,,
global_burghers_pop_growth,,none,EU5-specific pop growth,Burghers Growth,country,,"percent, good",,,
global_burghers_rural_desired_pop,,none,EU5-specific pop capacity,Possible Burghers in Rural Locations,country,,good,,,
global_burghers_rural_desired_pop_scaled,,none,EU5-specific pop capacity,"Possible Burghers in Rural Locations for each 1,000 population",country,scaled,"percent, good",,,
global_clergy_assimilation_blocked,,none,EU5-specific pop assimilation,Assimilation of Clerics Blocked,country,boolean,bad,,,
global_clergy_city_desired_pop,,none,EU5-specific pop capacity,Possible Clerics in Towns and Cities,country,,good,,,
global_clergy_city_desired_pop_scaled,,none,EU5-specific pop capacity,"Possible Clerics in Towns and Cities for each 1,000 population",country,scaled,"percent, good",,,
global_clergy_conversion_blocked,,none,EU5-specific pop conversion,Conversion of Clerics Blocked,country,boolean,bad,,,
global_clergy_desired_pop,,none,EU5-specific pop capacity,Possible Clerics,country,,good,,,
global_clergy_desired_pop_scaled,,none,EU5-specific pop capacity,"Possible Clerics for each 1,000 population",country,scaled,"percent, good",,,
global_clergy_estate_power,,none,EU5-specific estate power,Clergy Power,"country, estate",,"percent, bad",,,
global_clergy_food_consumption,,none,EU5-specific food system,Clergy Food Consumption,country,,"percent, bad",,,
global_clergy_max_literacy,,none,EU5-specific literacy system,Max Literacy for Clergy,country,,"raw percent, good",,,
global_clergy_migration_allowed,,none,EU5-specific migration permission,Allows Clerics to Migrate,country,boolean,good,,,
global_clergy_pop_growth,,none,EU5-specific pop growth,Clerics Growth,country,,"percent, good",,,
global_clergy_rural_desired_pop,,none,EU5-specific pop capacity,Possible Clerics in Rural Locations,country,,good,,,
global_clergy_rural_desired_pop_scaled,,none,EU5-specific pop capacity,"Possible Clerics in Rural Locations for each 1,000 population",country,scaled,"percent, good",,,
global_construction_speed,build_time,high,Both modify building construction speed,Construction Speed,country,,"percent, good",Economy,Modifies all building construction times.,Multiplicative
global_cossacks_estate_power,,none,EU5-specific estate power,Cossacks Power,"country, estate",,"percent, bad",,,
global_crown_estate_power,,none,EU5-specific crown power,Crown Power,"country, estate",,"percent, good",,,
global_defensive,defensiveness,high,Direct equivalent - fort defensiveness,Fort Defense,country,,"percent, good",Military,Modifies the siege defensiveness that affects siege phase length.,Multiplicative
global_devastation_recovery,,none,EU5-specific devastation recovery (EU4 has devastation but different modifier),Prosperity Recovery,country,,"percent, good",,,
global_dhimmi_estate_power,,none,EU5-specific estate power,Ḏimmī Power,"country, estate",,"percent, bad",,,
global_disease_resistance,,none,EU5-specific disease/plague system,Disease Resistance,country,,"percent, good",,,
global_distance_from_capital_speed_propagation,,none,EU5-specific proximity/distance system,Proximity Speed,country,,"percent, good",,,
global_estate_max_tax,,none,EU5-specific estate tax range,Maximum Tax,"country, estate",,"percent, good",,,
global_estate_min_tax,,none,EU5-specific estate tax range,Minimum Tax,"country, estate",,"percent, good",,,
global_estate_power,,none,EU5-specific estate power (EU4 has influence but not power),Estates Power,"country, estate",,"percent, bad",,,
global_estate_satisfaction_decay,,none,EU5-specific estate satisfaction,Estates Satisfaction Decay,"country, estate",,"percent, bad",,,
global_estate_satisfaction_from_legitimacy,,none,EU5-specific estate satisfaction,Estates Satisfaction Equilibrium from Legitimacy,"country, estate",,"percent, good",,,
global_estate_satisfaction_recovery,,none,EU5-specific estate satisfaction,Estates Satisfaction Recovery,"country, estate",,"percent, neutral",,,
global_estate_target_satisfaction,,none,EU5-specific estate satisfaction equilibrium,Estates Satisfaction Equilibrium,"country, estate",,"percent, good",,,
global_food_capacity,,none,EU5-specific food system,Food Capacity,country,,good,,,
global_food_capacity_modifier,,none,EU5-specific food system,Food Capacity,country,multiplicative,"percent, good",,,
global_food_decay,,none,EU5-specific food system,Food Decay,country,,"percent, bad",,,
global_foreign_build_buildings_cost,,none,EU5-specific foreign building cost,Foreign Buildings Cost,country,,"percent, bad",,,
global_fort_build_buildings_cost,,none,EU5-specific fort building cost,Fort Buildings Cost,country,,"percent, bad",,,
global_garrison_growth,global_garrison_growth,high,Direct equivalent - garrison growth rate,Garrison Growth,country,,"percent, good",Military,Modifies the base garrison growth in provinces.,Multiplicative
global_garrison_size_modifier,garrison_size,high,Direct equivalent - garrison size,Garrison Size,country,multiplicative,"percent, good",Military,Modifies the base garrison size in provinces.,Multiplicative
global_heathen_pop_conversion_speed_modifier,global_heathen_missionary_strength,medium,Related heathen conversion but EU5 is pop-based,Heathen Pop Conversion Speed %,country,multiplicative,"percent, good",Religion,Adds to the base missionary strength against heathen religions.,Additive
global_hellenism_religion_movement_growth_modifier,,none,EU5-specific religious movement,Global Platonic Revival Movement Growth Modifier,movement,multiplicative,"percent, good",,,
global_hellenism_religion_movement_resistance_modifier,,none,EU5-specific religious movement,Global Platonic Revival Movement Resistance Modifier,movement,multiplicative,"percent, good",,,
global_heretic_pop_conversion_speed_modifier,global_heretic_missionary_strength,medium,Related heretic conversion but EU5 is pop-based,Heretic Pop Conversion Speed %,country,multiplicative,"percent, good",Religion,Adds to the base missionary strength against heretic religions.,Additive
global_hostile_attrition,hostile_attrition,high,Direct equivalent - attrition inflicted on enemies,Hostile Attrition,country,,"raw percent, bad",Military,Adds to the attrition enemies take in a country's provinces.,Additive
global_institution_growth_modifier,global_institution_spread,high,Both modify institution spread/growth rate,Institution Growth,country,multiplicative,"percent, good",Technology,Modifies the rate of spread for institutions in all owned provinces.,Multiplicative
global_integration_speed_modifier,,none,EU5 uses this for its own annexation (already matched to annexation_speed_modifier),Speed of Integration,country,multiplicative,"percent, good",,,
global_laborers_assimilation_blocked,,none,EU5-specific pop assimilation,Assimilation of Laborers Blocked,country,boolean,bad,,,
global_laborers_city_desired_pop,,none,EU5-specific pop capacity,Possible Laborers in Towns and Cities,country,,good,,,
global_laborers_city_desired_pop_scaled,,none,EU5-specific pop capacity,"Possible Laborers in Towns and Cities for each 1,000 population",country,scaled,"percent, good",,,
global_laborers_conversion_blocked,,none,EU5-specific pop conversion,Conversion of Laborers Blocked,country,boolean,bad,,,
global_laborers_desired_pop,,none,EU5-specific pop capacity,Possible Laborers,country,,good,,,
global_laborers_desired_pop_scaled,,none,EU5-specific pop capacity,"Possible Laborers for each 1,000 population",country,scaled,"percent, good",,,
global_laborers_food_consumption,,none,EU5-specific food system,Laborers Food Consumption,country,,"percent, bad",,,
global_laborers_max_literacy,,none,EU5-specific literacy system,Max Literacy for Laborers,country,,"raw percent, good",,,
global_laborers_migration_allowed,,none,EU5-specific migration permission,Allows Laborers to Migrate,country,boolean,good,,,
global_laborers_pop_growth,,none,EU5-specific pop growth,Laborers Growth,country,,"percent, good",,,
global_laborers_rural_desired_pop,,none,EU5-specific pop capacity,Possible Laborers in Rural Locations,country,,good,,,
global_laborers_rural_desired_pop_scaled,,none,EU5-specific pop capacity,"Possible Laborers in Rural Locations for each 1,000 population",country,scaled,"percent, good",,,
global_levy_recruitment_speed_modifier,global_regiment_recruit_speed,medium,Related recruitment speed but EU5 uses levy system,Levy Recruitment Speed,country,multiplicative,"percent, good",Military,Modifies the base speed at which land units are recruited.,Multiplicative
global_levy_size_modifier,,none,EU5-specific levy system,Levy Size,country,multiplicative,"percent, good",,,
global_life_expectancy,monarch_lifespan,medium,Related lifespan but EU5 covers all characters not just monarchs,Character Life Expectancy,country,,good,Court,Modifies the average lifespan of a ruler.,Multiplicative
global_manpower_modifier,global_manpower_modifier,high,Direct equivalent - total manpower pool modifier,Manpower,country,multiplicative,"percent, good",Military,Modifies a country's total manpower pool.,Multiplicative
global_maritime_presence_decay,,none,EU5-specific maritime presence,Maritime Presence Decay,country,,"percent, bad",,,
global_maritime_presence_modifier,,none,EU5-specific maritime presence,Maritime Presence %,unit,multiplicative,"percent, good",,,
global_max_bureaucracy_slots,,none,EU5-specific bureaucracy slots,Max Bureaucracy Slots,country,,good,,,
global_max_control,,none,EU5-specific control system,Max Control,country,,"percent, good",,,
global_max_literacy,,none,EU5-specific literacy system,Max Literacy,country,,"raw percent, good",,,
global_max_rgo_size_modifier,,none,EU5-specific RGO system,Maximum RGO Size,country,multiplicative,"percent, good",,,
global_max_rgo_size_modifier_in_non_rural,,none,EU5-specific RGO system,Maximum RGO Size in Towns & Cities,country,,"percent, good",,,
global_max_rgo_size_modifier_in_rural,,none,EU5-specific RGO system,Maximum RGO Size in Rural,country,,"percent, good",,,
global_max_rural_control,,none,EU5-specific control system,Max Rural Control,country,,"percent, good",,,
global_max_urban_control,,none,EU5-specific control system,Max Urban Control,country,,"percent, good",,,
global_may_build_nahuatl_units,,none,EU5-specific Nahua units,May Build Eagle and Jaguar Warriors,country,boolean,good,,,
global_may_build_paik_units,,none,EU5-specific Paik units,May Build Paik Units,country,boolean,good,,,
global_mercenaries_modifier,,none,EU5-specific mercenary size (EU4 has mercenary_manpower but different),Mercenary Size,country,multiplicative,"percent, neutral",,,
global_merchant_capacity_modifier,,none,EU5-specific merchant capacity,Trade Capacity,country,multiplicative,"percent, good",,,
global_merchant_power,global_trade_power,medium,Related trade advantage but conceptually different,Trade Advantage,country,,"percent, good",Trade,Modifies the trade power in all trade nodes for a country.,Multiplicative
global_migration_attraction,,none,EU5-specific migration system,Migration Attraction,country,,good,,,
global_migration_speed,,none,EU5-specific migration system,Pop Migration Speed,country,,good,,,
global_migration_speed_modifier,,none,EU5-specific migration system,Pop Migration Speed,country,multiplicative,"percent, good",,,
global_monthly_art_start_chance,,none,EU5-specific artist system,Artist Monthly Start Chance,country,,"percent, good",,,
global_monthly_control,,none,EU5-specific control system,Monthly Control,country,,"percent, good",,,
global_monthly_control_decline,,none,EU5-specific control system,Monthly Control Decline,country,,"percent, bad",,,
global_monthly_development,,none,EU5-specific development growth,Monthly Development,country,,good,,,
global_monthly_food_modifier,,none,EU5-specific food system,Food Production %,country,multiplicative,"percent, good",,,
global_monthly_literacy,,none,EU5-specific literacy system,Monthly Literacy,country,,"raw percent, good",,,
global_monthly_prosperity,global_prosperity_growth,high,Both add to prosperity rate,Monthly Prosperity,country,,"percent, good",Economy,Adds to the prosperity rate in all provinces.,Additive
global_monthly_rural_control,,none,EU5-specific control system,Monthly Rural Control,country,,"percent, good",,,
global_monthly_urban_control,,none,EU5-specific control system,Monthly Urban Control,country,,"percent, good",,,
global_navy_levy_size_modifier,,none,EU5-specific naval levy,Navy Levy Size,country,multiplicative,"percent, good",,,
global_nobles_assimilation_blocked,,none,EU5-specific pop assimilation,Assimilation of Nobles Blocked,country,boolean,bad,,,
global_nobles_city_desired_pop,,none,EU5-specific pop capacity,Possible Nobles in Towns and Cities,country,,good,,,
global_nobles_city_desired_pop_scaled,,none,EU5-specific pop capacity,"Possible Nobles in Towns and Cities for each 1,000 population",country,scaled,"percent, good",,,
global_nobles_conversion_blocked,,none,EU5-specific pop conversion,Conversion of Nobles Blocked,country,boolean,bad,,,
global_nobles_desired_pop,,none,EU5-specific pop capacity,Possible Nobles,country,,good,,,
global_nobles_desired_pop_scaled,,none,EU5-specific pop capacity,"Possible Nobles for each 1,000 population",country,scaled,"percent, good",,,
global_nobles_estate_power,,none,EU5-specific estate power,Nobles Power,"country, estate",,"percent, bad",,,
global_nobles_food_consumption,,none,EU5-specific food system,Nobles Food Consumption,country,,"percent, bad",,,
global_nobles_max_literacy,,none,EU5-specific literacy system,Max Literacy for Nobles,country,,"raw percent, good",,,
global_nobles_migration_allowed,,none,EU5-specific migration permission,Allows Nobles to Migrate,country,boolean,good,,,
global_nobles_pop_growth,,none,EU5-specific pop growth,Nobles Growth,country,,"percent, good",,,
global_nobles_rural_desired_pop,,none,EU5-specific pop capacity,Possible Nobles in Rural Locations,country,,good,,,
global_nobles_rural_desired_pop_scaled,,none,EU5-specific pop capacity,"Possible Nobles in Rural Locations for each 1,000 population",country,scaled,"percent, good",,,
global_non_rural_monthly_development,,none,EU5-specific development growth,Monthly Development in Urban Locations,country,,good,,,
global_non_rural_monthly_prosperity,global_prosperity_growth,medium,Related prosperity but EU5 scoped to urban only,Monthly Prosperity in Urban Locations,country,,"percent, good",Economy,Adds to the prosperity rate in all provinces.,Additive
global_peasant_enfranchisment,,none,EU5-specific pop mechanic,Peasant Enfranchisement,country,,"percent, good",,,
global_peasants_assimilation_blocked,,none,EU5-specific pop assimilation,Assimilation of Peasants Blocked,country,boolean,bad,,,
global_peasants_city_desired_pop,,none,EU5-specific pop capacity,Possible Peasants in Towns and Cities,country,,good,,,
global_peasants_city_desired_pop_scaled,,none,EU5-specific pop capacity,"Possible Peasants in Towns and Cities for each 1,000 population",country,scaled,"percent, good",,,
global_peasants_conversion_blocked,,none,EU5-specific pop conversion,Conversion of Peasants Blocked,country,boolean,bad,,,
global_peasants_desired_pop,,none,EU5-specific pop capacity,Possible Peasants,country,,good,,,
global_peasants_desired_pop_scaled,,none,EU5-specific pop capacity,"Possible Peasants for each 1,000 population",country,scaled,"percent, good",,,
global_peasants_estate_power,,none,EU5-specific estate power,Peasants Power,"country, estate",,"percent, bad",,,
global_peasants_food_consumption,,none,EU5-specific food system,Peasants Food Consumption,country,,"percent, bad",,,
global_peasants_max_literacy,,none,EU5-specific literacy system,Max Literacy for Peasants,country,,"raw percent, good",,,
global_peasants_migration_allowed,,none,EU5-specific migration permission,Allows Peasants to Migrate,country,boolean,good,,,
global_peasants_pop_growth,,none,EU5-specific pop growth,Peasants Growth,country,,"percent, good",,,
global_peasants_rural_desired_pop,,none,EU5-specific pop capacity,Possible Peasants in Rural Locations,country,,good,,,
global_peasants_rural_desired_pop_scaled,,none,EU5-specific pop capacity,"Possible Peasants in Rural Locations for each 1,000 population",country,scaled,"percent, good",,,
global_pirate_spawn_chance,,none,EU5-specific pirate spawning,Chance for Pirates,country,,"raw percent, bad",,,
global_pop_assimilation_speed,,none,EU5-specific pop assimilation,Pop Assimilation Speed,country,,good,,,
global_pop_assimilation_speed_modifier,,none,EU5-specific pop assimilation,Pop Assimilation Speed,country,multiplicative,"percent, good",,,
global_pop_conversion_speed,,none,EU5-specific pop conversion,Pop Conversion Speed,country,,good,,,
global_pop_conversion_speed_modifier,global_missionary_strength,medium,Related religious conversion but EU5 is pop-based,Pop Conversion Speed %,country,multiplicative,"percent, good",Religion,Adds to the base missionary strength against all religions.,Additive
global_pop_demotion_speed,,none,EU5-specific pop mobility,Pop Demotion Speed,country,,bad,,,
global_pop_demotion_speed_modifier,,none,EU5-specific pop mobility,Pop Demotion Speed,country,multiplicative,"percent, bad",,,
global_pop_food_consumption,,none,EU5-specific food system,Pop Food Consumption,country,,"percent, bad",,,
global_pop_promotion_speed,,none,EU5-specific pop mobility,Pop Promotion Speed,country,,good,,,
global_pop_promotion_speed_modifier,,none,EU5-specific pop mobility,Pop Promotion Speed %,country,multiplicative,"percent, good",,,
global_population_capacity_modifier,,none,EU5-specific population system,Population Capacity %,country,multiplicative,"percent, good",,,
global_population_growth,,none,EU5-specific population growth,Population Growth,country,,"percent, good",,,
global_port_build_buildings_cost,,none,EU5-specific port building cost,Port Buildings Cost,country,,"percent, bad",,,
global_production_efficiency,production_efficiency,high,Direct equivalent - production income modifier,Production Efficiency,country,,"percent, good",Economy,Modifies the base production income by a percentage.,Multiplicative
global_prosperity_decay,,none,EU5-specific prosperity decay,Prosperity Decay,country,,"percent, bad",,,
global_rgo_build_time,,none,EU5-specific RGO system,Expanding Raw Materials Time,country,,"percent, bad",,,
global_road_building_time,,none,EU5-specific road system,Road Building Time,country,,"percent, bad",,,
global_roman_culture_movement_growth_modifier,,none,EU5-specific Latin revival movement,Global Latin Revival Movement Growth Modifier,movement,multiplicative,"percent, good",,,
global_roman_culture_movement_resistance_modifier,,none,EU5-specific Latin revival movement,Global Latin Revival Movement Resistance Modifier,movement,multiplicative,"percent, good",,,
global_rural_build_buildings_cost,,none,EU5-specific rural building cost,Rural Buildings Cost,country,,"percent, bad",,,
global_sailors_modifier,global_sailors_modifier,high,Direct equivalent - sailor pool modifier,Sailors,country,multiplicative,"percent, good",Navy,Modifies a country's maximum sailor pool.,Multiplicative
global_separatism,years_of_nationalism,medium,Related separatism/nationalism but different mechanism,Separatism,country,,"percent, bad",Stability,Adds to the base separatism value of provinces when conquered.,Additive
global_slave_pop_satisfaction,,none,EU5-specific pop satisfaction,Satisfaction of Slaves,country,,"percent, good",,,
global_slaves_assimilation_blocked,,none,EU5-specific pop assimilation,Assimilation of Slaves Blocked,country,boolean,bad,,,
global_slaves_city_desired_pop,,none,EU5-specific pop capacity,Possible Slaves in Towns and Cities,country,,good,,,
global_slaves_city_desired_pop_scaled,,none,EU5-specific pop capacity,"Possible Slaves in Towns and Cities for each 1,000 population",country,scaled,"percent, good",,,
global_slaves_conversion_blocked,,none,EU5-specific pop conversion,Conversion of Slaves Blocked,country,boolean,bad,,,
global_slaves_desired_pop,,none,EU5-specific pop capacity,Possible Slaves,country,,good,,,
global_slaves_desired_pop_scaled,,none,EU5-specific pop capacity,"Possible Slaves for each 1,000 population",country,scaled,"percent, good",,,
global_slaves_food_consumption,,none,EU5-specific food system,Slaves Food Consumption,country,,"percent, bad",,,
global_slaves_max_literacy,,none,EU5-specific literacy system,Max Literacy for Slaves,country,,"raw percent, good",,,
global_slaves_migration_allowed,,none,EU5-specific migration permission,Allows Slaves to Migrate,country,boolean,good,,,
global_slaves_pop_growth,,none,EU5-specific pop growth,Slaves Growth,country,,"percent, good",,,
global_slaves_rural_desired_pop,,none,EU5-specific pop capacity,Possible Slaves in Rural Locations,country,,good,,,
global_slaves_rural_desired_pop_scaled,,none,EU5-specific pop capacity,"Possible Slaves in Rural Locations for each 1,000 population",country,scaled,"percent, good",,,
global_soldiers_assimilation_blocked,,none,EU5-specific pop assimilation,Assimilation of Soldiers Blocked,country,boolean,bad,,,
global_soldiers_city_desired_pop,,none,EU5-specific pop capacity,Possible Soldiers in Towns and Cities,country,,good,,,
global_soldiers_city_desired_pop_scaled,,none,EU5-specific pop capacity,"Possible Soldiers in Towns and Cities for each 1,000 population",country,scaled,"percent, good",,,
global_soldiers_conversion_blocked,,none,EU5-specific pop conversion,Conversion of Soldiers Blocked,country,boolean,bad,,,
global_soldiers_desired_pop,,none,EU5-specific pop capacity,Possible Soldiers,country,,good,,,
global_soldiers_desired_pop_scaled,,none,EU5-specific pop capacity,"Possible Soldiers for each 1,000 population",country,scaled,"percent, good",,,
global_soldiers_food_consumption,,none,EU5-specific food system,Soldiers Food Consumption,country,,"percent, bad",,,
global_soldiers_max_literacy,,none,EU5-specific literacy system,Max Literacy for Soldiers,country,,"raw percent, good",,,
global_soldiers_migration_allowed,,none,EU5-specific migration permission,Allows Soldiers to Migrate,country,boolean,good,,,
global_soldiers_pop_growth,,none,EU5-specific pop growth,Soldiers Growth,country,,"percent, good",,,
global_soldiers_rural_desired_pop,,none,EU5-specific pop capacity,Possible Soldiers in Rural Locations,country,,good,,,
global_soldiers_rural_desired_pop_scaled,,none,EU5-specific pop capacity,"Possible Soldiers in Rural Locations for each 1,000 population",country,scaled,"percent, good",,,
global_supply_limit_modifier,global_supply_limit_modifier,high,Direct equivalent - supply limit,Supply Limit,country,multiplicative,"percent, good",Military,Modifies the supply limit of provinces,Additive
global_trade_center_power,,none,EU5-specific market attraction,Market Attraction,country,,"percent, good",,,
global_trade_protection_factor,,none,EU5-specific market protection,Market Protection,country,,"percent, good",,,
global_trade_through_owned_territory_cost_modifier,,none,EU5-specific trade range mechanic,Trade Range over Owned Land,country,multiplicative,"percent, bad",,,
global_trades_per_burgher,,none,EU5-specific burgher trade capacity,Burghers Trade Capacity,country,,"percent, good",,,
global_tribal_promotion,,none,EU5-specific pop tribal promotion,Tribesmen to Peasants,country,,"percent, good",,,
global_tribes_estate_power,,none,EU5-specific estate power,Tribes Power,"country, estate",,"percent, bad",,,
global_tribesmen_assimilation_blocked,,none,EU5-specific pop assimilation,Assimilation of Tribesmen Blocked,country,boolean,bad,,,
global_tribesmen_city_desired_pop,,none,EU5-specific pop capacity,Possible Tribesmen in Towns and Cities,country,,good,,,
global_tribesmen_city_desired_pop_scaled,,none,EU5-specific pop capacity,"Possible Tribesmen in Towns and Cities for each 1,000 population",country,scaled,"percent, good",,,
global_tribesmen_conversion_blocked,,none,EU5-specific pop conversion,Conversion of Tribesmen Blocked,country,boolean,bad,,,
global_tribesmen_desired_pop,,none,EU5-specific pop capacity,Possible Tribesmen,country,,good,,,
global_tribesmen_desired_pop_scaled,,none,EU5-specific pop capacity,"Possible Tribesmen for each 1,000 population",country,scaled,"percent, good",,,
global_tribesmen_food_consumption,,none,EU5-specific food system,Tribesmen Food Consumption,country,,"percent, bad",,,
global_tribesmen_max_literacy,,none,EU5-specific literacy system,Max Literacy for Tribesmen,country,,"raw percent, good",,,
global_tribesmen_migration_allowed,,none,EU5-specific migration permission,Allows Tribesmen to Migrate,country,boolean,good,,,
global_tribesmen_pop_growth,,none,EU5-specific pop growth,Tribesmen Growth,country,,"percent, good",,,
global_tribesmen_rural_desired_pop,,none,EU5-specific pop capacity,Possible Tribesmen in Rural Locations,country,,good,,,
global_tribesmen_rural_desired_pop_scaled,,none,EU5-specific pop capacity,"Possible Tribesmen in Rural Locations for each 1,000 population",country,scaled,"percent, good",,,
global_upper_class_capacity_modifier,,none,EU5-specific pop capacity,Upper-Class Population Capacity,country,multiplicative,"percent, good",,,
global_urban_build_buildings_cost,,none,EU5-specific urban building cost,Urban Buildings Cost,country,,"percent, bad",,,
global_war_score_efficiency,warscore_from_battles_modifier,medium,Related warscore but EU5 broader (all sources) vs EU4 (battles only),War Score Efficiency,country,,"percent, good",Military,Modifiers the amount of war score a country gain from land and naval battles.,Multiplicative
gold_importance_modifier,,none,EU5-specific AI importance modifier,Gold Importance Modifier,country,multiplicative,good,,,
government_reform_slots,,none,EU5-specific reform slots (EU4 uses different system),Possible Government Reforms,country,,good,,,
government_size,,none,EU5-specific cabinet seats system,Cabinet Seats,country,,good,,,
grant_a_triumph_cost_modifier,,none,EU5-specific Byzantine/Roman action,Grant a Triumph,country,multiplicative,"percent, bad",,,
grant_cabinet_right_price_cost_modifier,,none,EU5-specific cabinet action,Grant Cabinet Right Cost Modifier,country,multiplicative,"percent, bad",,,
grant_privilege_cost_modifier,,none,EU5-specific estate privilege action (EU4 has estate privileges but no cost modifier),Grant Privilege Cost,country,multiplicative,"percent, bad",,,
grant_shugo_office_cost_modifier,,none,EU5-specific Japanese office action,Grant Shugo Office Cost,country,multiplicative,"percent, bad",,,
grant_town_rights_cost_modifier,,none,EU5-specific urban rights action,Cost of Granting Urban Rights,country,multiplicative,"percent, bad",,,
great_power_score,,none,EU5-specific great power score,Great Power Score,country,,good,,,
great_power_score_exempt_from_forfeit,,none,EU5-specific great power score,Great Power Score (Exempt from Forfeit),country,,good,,,
great_power_score_modifier,,none,EU5-specific great power score,Great Power Score Modifier,country,multiplicative,"percent, good",,,
greek_festivals_cost_modifier,,none,EU5-specific Byzantine action,Revitalize an Ancient Greek Festival,country,multiplicative,"percent, bad",,,
hanseatic_member_cost_cost_modifier,,none,EU5-specific Hanseatic mechanic,Hanseatic Membership Fees,country,multiplicative,"percent, bad",,,
hanseatic_shipwright_guild_max_level,,none,EU5-specific Hanseatic building,Hanseatic Shipwright Guild Max Level,country,additive,good,,,
has_a_parliamentary_system,,none,EU5-specific parliament flag,Has a Parliamentary System,country,boolean,good,,,
has_appanages_subjects,,none,EU5-specific appanage subject type,Has Appanages,country,boolean,good,,,
has_ashta_pradham_council_policies,,none,EU5-specific Indian policy system,Can Enact Ashta Pradham Policy,country,boolean,good,,,
has_chivalric_order,,none,EU5-specific chivalric order flag,Has Chivalric Order,country,boolean,good,,,
has_codified_laws,,none,EU5-specific codified laws mechanic,Can Codify Laws,country,boolean,good,,,
has_complacency_effects,,none,EU5-specific complacency disaster,Complacency Impacts,country,boolean,bad,,,
has_cultural_maintenance,,none,EU5-specific culture investment,Can Invest in Culture,country,boolean,good,,,
has_panaqas,,none,EU5-specific Inca panaqa system,Has Panaqas,country,boolean,bad,,,
has_road_building,,none,EU5-specific road building flag,Road-building,country,boolean,good,,,
has_stability_investment,,none,EU5-specific stability investment,Can Invest in Stability,country,boolean,good,,,
has_taluqdar_tax_collection,,none,EU5-specific Indian tax mechanic,Has Taluqdar Tax Collection,country,boolean,good,,,
