global_burghers_assimilation_blocked,,none,EU5-specific pop assimilation
global_burghers_city_desired_pop,,none,EU5-specific pop capacity
global_burghers_city_desired_pop_scaled,,none,EU5-specific pop capacity
global_burghers_conversion_blocked,,none,EU5-specific pop conversion
global_burghers_desired_pop,,none,EU5-specific pop capacity
global_burghers_desired_pop_scaled,,none,EU5-specific pop capacity
global_burghers_estate_power,,none,EU5-specific estate power
global_burghers_food_consumption,,none,EU5-specific food system
global_burghers_max_literacy,,none,EU5-specific literacy system
global_burghers_migration_allowed,,none,EU5-specific migration permission
global_burghers_pop_growth,,none,EU5-specific pop growth
global_burghers_rural_desired_pop,,none,EU5-specific pop capacity
global_burghers_rural_desired_pop_scaled,,none,EU5-specific pop capacity
global_clergy_assimilation_blocked,,none,EU5-specific pop assimilation
global_clergy_city_desired_pop,,none,EU5-specific pop capacity
global_clergy_city_desired_pop_scaled,,none,EU5-specific pop capacity
global_clergy_conversion_blocked,,none,EU5-specific pop conversion
global_clergy_desired_pop,,none,EU5-specific pop capacity
global_clergy_desired_pop_scaled,,none,EU5-specific pop capacity
global_clergy_estate_power,,none,EU5-specific estate power
global_clergy_food_consumption,,none,EU5-specific food system
global_clergy_max_literacy,,none,EU5-specific literacy system
global_clergy_migration_allowed,,none,EU5-specific migration permission
global_clergy_pop_growth,,none,EU5-specific pop growth
global_clergy_rural_desired_pop,,none,EU5-specific pop capacity
global_clergy_rural_desired_pop_scaled,,none,EU5-specific pop capacity
global_construction_speed,build_time,high,Both modify building construction speed
global_cossacks_estate_power,,none,EU5-specific estate power
global_crown_estate_power,,none,EU5-specific crown power
global_defensive,defensiveness,high,Direct equivalent - fort defensiveness
global_devastation_recovery,,none,EU5-specific devastation recovery (EU4 has devastation but different modifier)
global_dhimmi_estate_power,,none,EU5-specific estate power
global_disease_resistance,,none,EU5-specific disease/plague system
global_distance_from_capital_speed_propagation,,none,EU5-specific proximity/distance system
global_estate_max_tax,,none,EU5-specific estate tax range
global_estate_min_tax,,none,EU5-specific estate tax range
global_estate_power,,none,EU5-specific estate power (EU4 has influence but not power)
global_estate_satisfaction_decay,,none,EU5-specific estate satisfaction
global_estate_satisfaction_from_legitimacy,,none,EU5-specific estate satisfaction
global_estate_satisfaction_recovery,,none,EU5-specific estate satisfaction
global_estate_target_satisfaction,,none,EU5-specific estate satisfaction equilibrium
global_food_capacity,,none,EU5-specific food system
global_food_capacity_modifier,,none,EU5-specific food system
global_food_decay,,none,EU5-specific food system
global_foreign_build_buildings_cost,,none,EU5-specific foreign building cost
global_fort_build_buildings_cost,,none,EU5-specific fort building cost
global_garrison_growth,global_garrison_growth,high,Direct equivalent - garrison growth rate
global_garrison_size_modifier,garrison_size,high,Direct equivalent - garrison size
global_heathen_pop_conversion_speed_modifier,global_heathen_missionary_strength,medium,Related heathen conversion but EU5 is pop-based
global_hellenism_religion_movement_growth_modifier,,none,EU5-specific religious movement
global_hellenism_religion_movement_resistance_modifier,,none,EU5-specific religious movement
global_heretic_pop_conversion_speed_modifier,global_heretic_missionary_strength,medium,Related heretic conversion but EU5 is pop-based
global_hostile_attrition,hostile_attrition,high,Direct equivalent - attrition inflicted on enemies
global_institution_growth_modifier,global_institution_spread,high,Both modify institution spread/growth rate
global_integration_speed_modifier,,none,EU5 uses this for its own annexation (already matched to annexation_speed_modifier)
global_laborers_assimilation_blocked,,none,EU5-specific pop assimilation
global_laborers_city_desired_pop,,none,EU5-specific pop capacity
global_laborers_city_desired_pop_scaled,,none,EU5-specific pop capacity
global_laborers_conversion_blocked,,none,EU5-specific pop conversion
global_laborers_desired_pop,,none,EU5-specific pop capacity
global_laborers_desired_pop_scaled,,none,EU5-specific pop capacity
global_laborers_food_consumption,,none,EU5-specific food system
global_laborers_max_literacy,,none,EU5-specific literacy system
global_laborers_migration_allowed,,none,EU5-specific migration permission
global_laborers_pop_growth,,none,EU5-specific pop growth
global_laborers_rural_desired_pop,,none,EU5-specific pop capacity
global_laborers_rural_desired_pop_scaled,,none,EU5-specific pop capacity
global_levy_recruitment_speed_modifier,global_regiment_recruit_speed,medium,Related recruitment speed but EU5 uses levy system
global_levy_size_modifier,,none,EU5-specific levy system
global_life_expectancy,monarch_lifespan,medium,Related lifespan but EU5 covers all characters not just monarchs
global_manpower_modifier,global_manpower_modifier,high,Direct equivalent - total manpower pool modifier
global_maritime_presence_decay,,none,EU5-specific maritime presence
global_maritime_presence_modifier,,none,EU5-specific maritime presence
global_max_bureaucracy_slots,,none,EU5-specific bureaucracy slots
global_max_control,,none,EU5-specific control system
global_max_literacy,,none,EU5-specific literacy system
global_max_rgo_size_modifier,,none,EU5-specific RGO system
global_max_rgo_size_modifier_in_non_rural,,none,EU5-specific RGO system
global_max_rgo_size_modifier_in_rural,,none,EU5-specific RGO system
global_max_rural_control,,none,EU5-specific control system
global_max_urban_control,,none,EU5-specific control system
global_may_build_nahuatl_units,,none,EU5-specific Nahua units
global_may_build_paik_units,,none,EU5-specific Paik units
global_mercenaries_modifier,,none,EU5-specific mercenary size (EU4 has mercenary_manpower but different)
global_merchant_capacity_modifier,,none,EU5-specific merchant capacity
global_merchant_power,global_trade_power,medium,Related trade advantage but conceptually different
global_migration_attraction,,none,EU5-specific migration system
global_migration_speed,,none,EU5-specific migration system
global_migration_speed_modifier,,none,EU5-specific migration system
global_monthly_art_start_chance,,none,EU5-specific artist system
global_monthly_control,,none,EU5-specific control system
global_monthly_control_decline,,none,EU5-specific control system
global_monthly_development,,none,EU5-specific development growth
global_monthly_food_modifier,,none,EU5-specific food system
global_monthly_literacy,,none,EU5-specific literacy system
global_monthly_prosperity,global_prosperity_growth,high,Both add to prosperity rate
global_monthly_rural_control,,none,EU5-specific control system
global_monthly_urban_control,,none,EU5-specific control system
eu5_modifier,eu4_matches,confidence,notes
global_navy_levy_size_modifier,,none,EU5-specific naval levy
global_nobles_assimilation_blocked,,none,EU5-specific pop assimilation
global_nobles_city_desired_pop,,none,EU5-specific pop capacity
global_nobles_city_desired_pop_scaled,,none,EU5-specific pop capacity
global_nobles_conversion_blocked,,none,EU5-specific pop conversion
global_nobles_desired_pop,,none,EU5-specific pop capacity
global_nobles_desired_pop_scaled,,none,EU5-specific pop capacity
global_nobles_estate_power,,none,EU5-specific estate power
global_nobles_food_consumption,,none,EU5-specific food system
global_nobles_max_literacy,,none,EU5-specific literacy system
global_nobles_migration_allowed,,none,EU5-specific migration permission
global_nobles_pop_growth,,none,EU5-specific pop growth
global_nobles_rural_desired_pop,,none,EU5-specific pop capacity
global_nobles_rural_desired_pop_scaled,,none,EU5-specific pop capacity
global_non_rural_monthly_development,,none,EU5-specific development growth
global_non_rural_monthly_prosperity,global_prosperity_growth,medium,Related prosperity but EU5 scoped to urban only
global_peasant_enfranchisment,,none,EU5-specific pop mechanic
global_peasants_assimilation_blocked,,none,EU5-specific pop assimilation
global_peasants_city_desired_pop,,none,EU5-specific pop capacity
global_peasants_city_desired_pop_scaled,,none,EU5-specific pop capacity
global_peasants_conversion_blocked,,none,EU5-specific pop conversion
global_peasants_desired_pop,,none,EU5-specific pop capacity
global_peasants_desired_pop_scaled,,none,EU5-specific pop capacity
global_peasants_estate_power,,none,EU5-specific estate power
global_peasants_food_consumption,,none,EU5-specific food system
global_peasants_max_literacy,,none,EU5-specific literacy system
global_peasants_migration_allowed,,none,EU5-specific migration permission
global_peasants_pop_growth,,none,EU5-specific pop growth
global_peasants_rural_desired_pop,,none,EU5-specific pop capacity
global_peasants_rural_desired_pop_scaled,,none,EU5-specific pop capacity
global_pirate_spawn_chance,,none,EU5-specific pirate spawning
global_pop_assimilation_speed,,none,EU5-specific pop assimilation
global_pop_assimilation_speed_modifier,,none,EU5-specific pop assimilation
global_pop_conversion_speed,,none,EU5-specific pop conversion
global_pop_conversion_speed_modifier,global_missionary_strength,medium,Related religious conversion but EU5 is pop-based
global_pop_demotion_speed,,none,EU5-specific pop mobility
global_pop_demotion_speed_modifier,,none,EU5-specific pop mobility
global_pop_food_consumption,,none,EU5-specific food system
global_pop_promotion_speed,,none,EU5-specific pop mobility
global_pop_promotion_speed_modifier,,none,EU5-specific pop mobility
global_population_capacity_modifier,,none,EU5-specific population system
global_population_growth,,none,EU5-specific population growth
global_port_build_buildings_cost,,none,EU5-specific port building cost
global_production_efficiency,production_efficiency,high,Direct equivalent - production income modifier
global_prosperity_decay,,none,EU5-specific prosperity decay
global_rgo_build_time,,none,EU5-specific RGO system
global_road_building_time,,none,EU5-specific road system
global_roman_culture_movement_growth_modifier,,none,EU5-specific Latin revival movement
global_roman_culture_movement_resistance_modifier,,none,EU5-specific Latin revival movement
global_rural_build_buildings_cost,,none,EU5-specific rural building cost
global_sailors_modifier,global_sailors_modifier,high,Direct equivalent - sailor pool modifier
global_separatism,years_of_nationalism,medium,Related separatism/nationalism but different mechanism
global_slave_pop_satisfaction,,none,EU5-specific pop satisfaction
global_slaves_assimilation_blocked,,none,EU5-specific pop assimilation
global_slaves_city_desired_pop,,none,EU5-specific pop capacity
global_slaves_city_desired_pop_scaled,,none,EU5-specific pop capacity
global_slaves_conversion_blocked,,none,EU5-specific pop conversion
global_slaves_desired_pop,,none,EU5-specific pop capacity
global_slaves_desired_pop_scaled,,none,EU5-specific pop capacity
global_slaves_food_consumption,,none,EU5-specific food system
global_slaves_max_literacy,,none,EU5-specific literacy system
global_slaves_migration_allowed,,none,EU5-specific migration permission
global_slaves_pop_growth,,none,EU5-specific pop growth
global_slaves_rural_desired_pop,,none,EU5-specific pop capacity
global_slaves_rural_desired_pop_scaled,,none,EU5-specific pop capacity
global_soldiers_assimilation_blocked,,none,EU5-specific pop assimilation
global_soldiers_city_desired_pop,,none,EU5-specific pop capacity
global_soldiers_city_desired_pop_scaled,,none,EU5-specific pop capacity
global_soldiers_conversion_blocked,,none,EU5-specific pop conversion
global_soldiers_desired_pop,,none,EU5-specific pop capacity
global_soldiers_desired_pop_scaled,,none,EU5-specific pop capacity
global_soldiers_food_consumption,,none,EU5-specific food system
global_soldiers_max_literacy,,none,EU5-specific literacy system
global_soldiers_migration_allowed,,none,EU5-specific migration permission
global_soldiers_pop_growth,,none,EU5-specific pop growth
global_soldiers_rural_desired_pop,,none,EU5-specific pop capacity
global_soldiers_rural_desired_pop_scaled,,none,EU5-specific pop capacity
global_supply_limit_modifier,global_supply_limit_modifier,high,Direct equivalent - supply limit
global_trade_center_power,,none,EU5-specific market attraction
global_trade_protection_factor,,none,EU5-specific market protection
global_trade_through_owned_territory_cost_modifier,,none,EU5-specific trade range mechanic
global_trades_per_burgher,,none,EU5-specific burgher trade capacity
global_tribal_promotion,,none,EU5-specific pop tribal promotion
global_tribes_estate_power,,none,EU5-specific estate power
global_tribesmen_assimilation_blocked,,none,EU5-specific pop assimilation
global_tribesmen_city_desired_pop,,none,EU5-specific pop capacity
global_tribesmen_city_desired_pop_scaled,,none,EU5-specific pop capacity
global_tribesmen_conversion_blocked,,none,EU5-specific pop conversion
global_tribesmen_desired_pop,,none,EU5-specific pop capacity
global_tribesmen_desired_pop_scaled,,none,EU5-specific pop capacity
global_tribesmen_food_consumption,,none,EU5-specific food system
global_tribesmen_max_literacy,,none,EU5-specific literacy system
global_tribesmen_migration_allowed,,none,EU5-specific migration permission
global_tribesmen_pop_growth,,none,EU5-specific pop growth
global_tribesmen_rural_desired_pop,,none,EU5-specific pop capacity
global_tribesmen_rural_desired_pop_scaled,,none,EU5-specific pop capacity
global_upper_class_capacity_modifier,,none,EU5-specific pop capacity
global_urban_build_buildings_cost,,none,EU5-specific urban building cost
global_war_score_efficiency,warscore_from_battles_modifier,medium,Related warscore but EU5 broader (all sources) vs EU4 (battles only)
gold_importance_modifier,,none,EU5-specific AI importance modifier
government_reform_slots,,none,EU5-specific reform slots (EU4 uses different system)
eu5_modifier,eu4_matches,confidence,notes
government_size,,none,EU5-specific cabinet seats system
grant_a_triumph_cost_modifier,,none,EU5-specific Byzantine/Roman action
grant_cabinet_right_price_cost_modifier,,none,EU5-specific cabinet action
grant_privilege_cost_modifier,,none,EU5-specific estate privilege action (EU4 has estate privileges but no cost modifier)
grant_shugo_office_cost_modifier,,none,EU5-specific Japanese office action
grant_town_rights_cost_modifier,,none,EU5-specific urban rights action
great_power_score,,none,EU5-specific great power score
great_power_score_exempt_from_forfeit,,none,EU5-specific great power score
great_power_score_modifier,,none,EU5-specific great power score
greek_festivals_cost_modifier,,none,EU5-specific Byzantine action
hanseatic_member_cost_cost_modifier,,none,EU5-specific Hanseatic mechanic
hanseatic_shipwright_guild_max_level,,none,EU5-specific Hanseatic building
has_a_parliamentary_system,,none,EU5-specific parliament flag
has_appanages_subjects,,none,EU5-specific appanage subject type
has_ashta_pradham_council_policies,,none,EU5-specific Indian policy system
has_chivalric_order,,none,EU5-specific chivalric order flag
has_codified_laws,,none,EU5-specific codified laws mechanic
has_complacency_effects,,none,EU5-specific complacency disaster
has_cultural_maintenance,,none,EU5-specific culture investment
has_panaqas,,none,EU5-specific Inca panaqa system
has_road_building,,none,EU5-specific road building flag
has_stability_investment,,none,EU5-specific stability investment
has_taluqdar_tax_collection,,none,EU5-specific Indian tax mechanic
head_of_cabinet_promotion_cost_modifier,,none,EU5-specific cabinet action
heir_of_any_religion,,none,EU5-specific heir religion rule
heir_of_same_religion,,none,EU5-specific heir religion rule
heir_of_same_religion_group,,none,EU5-specific heir religion rule
hide_from_black_death_cost_modifier,,none,EU5-specific plague action
high_lakes_proximity_impact,,none,EU5-specific proximity system
hills_proximity_impact,,none,EU5-specific proximity system
hills_wasteland_proximity_impact,,none,EU5-specific proximity system
hire_advisor_cost_modifier,advisor_cost,high,Direct equivalent - advisor hiring cost
hire_artist_cost_modifier,,none,EU5-specific artist system
hire_mercenary_leader_cost_modifier,,none,EU5-specific mercenary leader hiring
hire_mercenary_premium_cost_modifier,mercenary_cost,medium,Related mercenary hiring cost
hire_prisoners_cost_modifier,,none,EU5-specific prisoner recruitment
hire_privateer_cost_modifier,,none,EU5-specific privateer action
hold_public_kirishitan_mass_cost_modifier,,none,EU5-specific Kirishitan action
honorary_titles_bureaucracy_impact_modifier,,none,EU5-specific Chinese bureaucracy
honoring_alliance_call_cost_modifier,,none,EU5-specific alliance call action
horde_unity_hit_at_ruler_death,,none,EU5-specific horde unity mechanic
host_olympiad_cost_modifier,,none,EU5-specific Olympiad action
hostile_diplomatic_annexation_cost,diplomatic_annexation_cost,medium,Related to diplomatic annexation but hostile-specific
hre_army_building_cost_modifier,imperial_mercenary_cost,low,Related HRE military cost but different unit type
hussite_wars_actions_price_cost_modifier,,none,EU5-specific Hussite Wars situation
hyw_main_actions_price_cost_modifier,,none,EU5-specific Hundred Years War actions
ignore_doom,,none,EU5-specific doom mechanic
ignore_same_religion_colonial_claim,,none,EU5-specific colonial claim rule
ignore_zone_of_control,can_bypass_forts,high,Both allow ignoring fort zone of control
imperial_army_contribution_price_cost_modifier,,none,EU5-specific HRE contribution
imperial_authority_modifier,imperial_authority,high,Both modify imperial authority impact
imperial_contribution_price_cost_modifier,,none,EU5-specific HRE contribution
imperial_senate_bureaucracy_impact_modifier,,none,EU5-specific Byzantine bureaucracy
imperial_treasury_contribution_price_cost_modifier,,none,EU5-specific HRE treasury contribution
implement_bureaucracy_price_cost_modifier,,none,EU5-specific bureaucracy action
import_efficiency,,none,EU5-specific trade import mechanic
improve_our_cultural_view_price_cost_modifier,,none,EU5-specific culture opinion action
improve_relation_impact,improve_relation_modifier,high,Direct equivalent - improve relations speed
increase_clergy_satisfaction_from_religious_sects_cost_modifier,,none,EU5-specific religious sect action
increase_levies_from_shogun_court_cost_modifier,,none,EU5-specific shogun court action
increase_literacy_from_religious_sects_cost_modifier,,none,EU5-specific literacy action
increase_peasant_satisfaction_from_ikko_ikki_cost_modifier,,none,EU5-specific Ikko-ikki action
increase_tax_income_from_shogun_court_cost_modifier,,none,EU5-specific shogun court action
indulge_in_bloodbath_cost_modifier,,none,EU5-specific character action
indulge_in_feasts_cost_modifier,,none,EU5-specific character action
inland_sea_proximity_impact,,none,EU5-specific proximity system
institution_growth,global_institution_spread,medium,Related institution spread but EU5 is generic growth
institution_importance_modifier,,none,EU5-specific AI importance modifier
intervene_in_italian_campaign_price_cost_modifier,,none,EU5-specific Italian Wars action
inti_ceremonial_festivals_cost_modifier,,none,EU5-specific Inca religious action
invade_neighbor_beylik_price_cost_modifier,,none,EU5-specific Ottoman action
invite_artist_cost_modifier,,none,EU5-specific artist system
invite_foreign_cleric_cost_modifier,,none,EU5-specific religious action
invite_patriarch_delegation_cost_modifier,,none,EU5-specific Orthodox action
invite_religious_figure_different_school_cost_modifier,,none,EU5-specific religious school action
invite_religious_figure_same_school_cost_modifier,,none,EU5-specific religious school action
irrigant_cap_level,,none,EU5-specific irrigation building
is_battles_preordained,,none,EU5-specific mechanic
is_excluded_from_electorship,,none,EU5-specific HRE elector exclusion
is_hre_elector,,none,EU5-specific HRE elector flag
is_pope,,none,EU5-specific pope flag
is_senior_partner,,none,EU5-specific PU/union flag
isolate_cities_black_death_cost_modifier,,none,EU5-specific plague action
iw_send_aid_price_cost_modifier,,none,EU5-specific Italian Wars action
join_autocephalous_patriarchate_cost_modifier,,none,EU5-specific Orthodox action
join_branch_cost_modifier,,none,EU5-specific religious branch action
join_italian_wars_price_cost_modifier,,none,EU5-specific Italian Wars action
join_sect_cost_modifier,,none,EU5-specific religious sect action
jurchen_confederation_law_price_cost_modifier,,none,EU5-specific Jurchen action
keep_kami_and_buddha_balanced_from_religious_sects_cost_modifier,,none,EU5-specific Shinto/Buddhist action
kephalai_bureaucracy_impact_modifier,,none,EU5-specific Byzantine bureaucracy
lack_of_control_impact_on_warscore,,none,EU5-specific control-warscore mechanic
lakes_proximity_impact,,none,EU5-specific proximity system
land_cost_going_downstream,,none,EU5-specific proximity/river system
land_cost_going_upstream,,none,EU5-specific proximity/river system
land_cost_on_distance_from_capital,,none,EU5-specific proximity/distance system
land_cost_on_distance_from_capital_speed_propagation,,none,EU5-specific proximity system
land_cost_on_frozen_water,,none,EU5-specific proximity system
land_morale,land_morale_constant,high,Both add to base land morale
land_morale_attrition_cost,,none,EU5-specific morale attrition
land_morale_modifier,land_morale,high,Direct equivalent - land morale modifier
land_morale_movement_cost,,none,EU5-specific morale movement cost
eu5_modifier,eu4_matches,confidence,notes
land_morale_recovery,recover_army_morale_speed,high,Direct equivalent - army morale recovery speed
land_unit_attrition,land_attrition,high,Direct equivalent - land unit attrition
landfriede_cooldown,,none,EU5-specific HRE Landfriede mechanic
landfriede_flat_cost,,none,EU5-specific HRE Landfriede mechanic
language_change_threshold_modifier,,none,EU5-specific language system
lat_access_to_latin_reintegration_cabinet,,none,EU5-specific cabinet action
lat_access_to_reconquest_cb,,none,EU5-specific Latin reconquest CB
learn_from_foreigners_cost_modifier,,none,EU5-specific action
leave_sect_cost_modifier,,none,EU5-specific religious sect action
legislative_efficiency,,none,EU5-specific parliament/legislative mechanic
levy_combat_efficiency_modifier,,none,EU5-specific levy system
levy_maintenance_modifier,,none,EU5-specific levy system
levy_recovery_modifier,,none,EU5-specific levy system
lia_actions_price_cost_modifier,,none,EU5-specific Little Ice Age situation
limit_movement_of_kirishitan_cost_modifier,,none,EU5-specific Kirishitan action
loan_icon_price_cost_modifier,,none,EU5-specific religious icon action
lordship_of_ireland_casus_belli_cost_modifier,,none,EU5-specific Irish CB action
lordship_of_ireland_form_kingdom_cost_modifier,,none,EU5-specific Irish kingdom action
lordship_of_ireland_invite_planters_cost_modifier,,none,EU5-specific Irish planter action
losses_to_disease_cost_modifier,,none,EU5-specific disease/plague cost
loyalty_to_overlord,liberty_desire,high,Inverse concept - EU5 loyalty is opposite of EU4 liberty desire
magister_militum_bureaucracy_impact_modifier,,none,EU5-specific Byzantine bureaucracy
maintain_bureaucracy_price_cost_modifier,,none,EU5-specific bureaucracy maintenance
make_tribals_peasants,,none,EU5-specific pop tribal promotion
male_spouses,,none,EU5-specific polygamy mechanic
manpower_importance_modifier,,none,EU5-specific AI importance modifier
market_building_levels,,none,EU5-specific trade building system
max_diplomats,diplomats,high,Both add to diplomat count
max_manpower,global_manpower,high,Both add to max manpower pool
max_sailors,global_sailors,high,Both add to max sailors pool
max_war_exhaustion,,none,EU5-specific war exhaustion cap (EU4 has war_exhaustion but different)
maximum_religious_influence,,none,EU5-specific religious influence
may_convert_vassals_to_celestial_governors,,none,EU5-specific Chinese celestial governor
may_explore,may_explore,high,Direct equivalent - exploration mission permission
may_hire_eunuch_advisors,,none,EU5-specific eunuch advisor
may_not_take_land_in_peace_treaties,,none,EU5-specific peace treaty restriction
mayan_ceremonial_festivals_cost_modifier,,none,EU5-specific Mayan religious action
megalopolis_upgrade_cost_modifier,,none,EU5-specific megalopolis building
mend_schism_price_cost_modifier,,none,EU5-specific religious schism action
mercenary_maintenance_efficiency,merc_maintenance_modifier,high,Direct equivalent - mercenary maintenance cost
mercenary_range,,none,EU5-specific mercenary range
mercenary_range_modifier,,none,EU5-specific mercenary range
mercenary_units_preference_modifier,,none,EU5-specific AI mercenary preference
merchant_guild_chapel_price_cost_modifier,,none,EU5-specific merchant guild action
merchant_maintenance_efficiency,,none,EU5-specific merchant maintenance
merchant_power_from_maritime,,none,EU5-specific maritime trade advantage
merchant_power_from_maritime_modifier,,none,EU5-specific maritime trade advantage
mercury_patio_max_level,,none,EU5-specific building max level
mesa_wasteland_proximity_impact,,none,EU5-specific proximity system
miaphysite_monastery_building_cost_modifier,,none,EU5-specific Miaphysite building
middle_kingdom_tribute_price_cost_modifier,,none,EU5-specific Chinese tribute action
migrate_pop_based_country_cost_modifier,,none,EU5-specific migration action
migrate_to_new_waters_cost_modifier,,none,EU5-specific naval migration action
military_tactics,military_tactics,high,Direct equivalent - military tactics
minting_income_factor,,none,EU5-specific minting mechanic
minting_inflation_threshold,,none,EU5-specific minting mechanic
monthly_army_tradition,army_tradition,high,Both add to army tradition rate (EU5 monthly vs EU4 yearly)
monthly_burghers_estate_rebel_growth,,none,EU5-specific estate rebel mechanic
monthly_celestial_authority,,none,EU5-specific Chinese celestial authority
monthly_clergy_estate_rebel_growth,,none,EU5-specific estate rebel mechanic
monthly_complacency,,none,EU5-specific complacency disaster
monthly_cossacks_estate_rebel_growth,,none,EU5-specific estate rebel mechanic
monthly_crown_estate_rebel_growth,,none,EU5-specific estate rebel mechanic
monthly_devotion,devotion,high,Direct equivalent - devotion gain (EU5 monthly vs EU4 yearly)
monthly_dhimmi_estate_rebel_growth,,none,EU5-specific estate rebel mechanic
monthly_diplomats,,none,EU5-specific monthly diplomat generation
monthly_doom,,none,EU5-specific doom mechanic
monthly_experience_gain,,none,EU5-specific unit experience
monthly_gold_expense,,none,EU5-specific gold expense tracking
monthly_gold_income,global_tax_income,medium,Related monthly gold income but EU4 is tax-specific
monthly_harmony,yearly_harmony,high,Direct equivalent - harmony gain (EU5 monthly vs EU4 yearly)
monthly_honor,,none,EU5-specific honor mechanic
monthly_horde_unity,horde_unity,high,Direct equivalent - horde unity (EU5 monthly vs EU4 yearly)
monthly_imperial_authority,imperial_authority_value,high,Direct equivalent - imperial authority monthly rate
monthly_inflation,,none,EU5-specific inflation rate (EU4 uses monthly_gold_inflation_modifier)
monthly_karma,monthly_karma,high,Direct equivalent - monthly karma
monthly_karma_decay,yearly_karma_decay,high,Direct equivalent - karma decay (EU5 monthly vs EU4 yearly)
monthly_legitimacy,legitimacy,high,Direct equivalent - legitimacy gain (EU5 monthly vs EU4 yearly)
monthly_loan_capacity_investment,,none,EU5-specific loan capacity mechanic
monthly_nahualt_reform_progress,,none,EU5-specific Nahua reform mechanic
monthly_monthly_navy_tradition,navy_tradition,high,Both add to navy tradition rate (typo in EU5 modifier name)
monthly_nobles_estate_rebel_growth,,none,EU5-specific estate rebel mechanic
monthly_papal_authority,papal_influence,high,Related papal authority/influence gain
monthly_peasants_estate_rebel_growth,,none,EU5-specific estate rebel mechanic
monthly_prestige,prestige,high,Direct equivalent - prestige gain (EU5 monthly vs EU4 yearly)
monthly_pretender_rebel_growth,,none,EU5-specific pretender rebel mechanic
monthly_purity,,none,EU5-specific purity mechanic
monthly_rebel_growth,,none,EU5-specific rebel growth
monthly_reform_desire,,none,EU5-specific reform desire
monthly_religious_influence,,none,EU5-specific religious influence
monthly_religious_rebel_growth,,none,EU5-specific religious rebel growth
monthly_republican_tradition,republican_tradition,high,Direct equivalent - republican tradition (EU5 monthly vs EU4 yearly)
monthly_righteousness,,none,EU5-specific righteousness mechanic
monthly_rite_power,,none,EU5-specific religious rite power
monthly_self_control,,none,EU5-specific self control mechanic
monthly_slave_rebel_growth,,none,EU5-specific slave rebel mechanic
monthly_tribal_cohesion,,none,EU5-specific tribal cohesion
monthly_tribes_estate_rebel_growth,,none,EU5-specific estate rebel mechanic
monthly_war_exhaustion,war_exhaustion,high,Direct equivalent - monthly war exhaustion rate
monthly_yanantin,,none,EU5-specific Inca yanantin mechanic
morale_recovery_in_friendly,recover_army_morale_speed,medium,Related morale recovery but EU5 is territory-specific
mountain_wasteland_proximity_impact,,none,EU5-specific proximity system
mountains_proximity_impact,,none,EU5-specific proximity system
eu5_modifier,eu4_matches,confidence,notes
move_good_to_new_location_cost_modifier,,none,EU5-specific trade goods relocation action
move_to_assist_on_adjacent_combat,,none,EU5-specific battle assist mechanic
movement_speed_if_no_road,,none,EU5-specific road/movement system
movement_speed_when_attached_to_another_unit,,none,EU5-specific attached unit movement
n_panokseon_build_cost_modifier,,none,EU5-specific Korean ship type
n_panokseon_maintenance_cost_modifier,,none,EU5-specific Korean ship type
n_panokseon_reinforce_cost_modifier,,none,EU5-specific Korean ship type
nahuatl_religious_actions_price_cost_modifier,,none,EU5-specific Nahua religious actions
nanbokuchou_change_sides_cost_modifier,,none,EU5-specific Japanese Nanboku-cho action
narrows_proximity_impact,,none,EU5-specific proximity system
national_church_power_cost_modifier,,none,EU5-specific church power action
naval_damage_done,,none,EU5-specific naval damage (EU4 uses fire/shock damage on ships via artillery_fire)
naval_damage_taken,,none,EU5-specific naval damage
naval_morale,naval_morale_constant,high,Both add to base naval morale
naval_morale_attrition_cost,,none,EU5-specific naval morale attrition
naval_morale_modifier,naval_morale,high,Direct equivalent - naval morale modifier
naval_morale_movement_cost,,none,EU5-specific naval morale movement
naval_morale_recovery,recover_navy_morale_speed,high,Direct equivalent - navy morale recovery speed
naval_range,,none,EU5-specific naval range concept
naval_range_modifier,,none,EU5-specific naval range concept
naval_unit_attrition,naval_attrition,high,Direct equivalent - navy attrition
navy_galley_build_cost_modifier,galley_cost,high,Direct equivalent - galley build cost
navy_galley_maintenance_cost_modifier,naval_maintenance_modifier,medium,EU4 covers all naval maintenance not just galleys
navy_galley_power,galley_power,high,Direct equivalent - galley power from pips
navy_galley_reinforce_cost_modifier,,none,EU5-specific galley repair cost (EU4 has global_ship_repair)
navy_heavy_ship_build_cost_modifier,heavy_ship_cost,high,Direct equivalent - heavy ship build cost
navy_heavy_ship_maintenance_cost_modifier,naval_maintenance_modifier,medium,EU4 covers all naval maintenance not just heavy ships
navy_heavy_ship_power,heavy_ship_power,high,Direct equivalent - heavy ship power from pips
navy_heavy_ship_reinforce_cost_modifier,,none,EU5-specific heavy ship repair cost
navy_initiative,,none,EU5-specific naval initiative
navy_light_ship_build_cost_modifier,light_ship_cost,high,Direct equivalent - light ship build cost
navy_light_ship_maintenance_cost_modifier,naval_maintenance_modifier,medium,EU4 covers all naval maintenance not just light ships
navy_light_ship_power,light_ship_power,high,Direct equivalent - light ship power from pips
navy_light_ship_reinforce_cost_modifier,,none,EU5-specific light ship repair cost
navy_maintenance_efficiency,naval_maintenance_modifier,high,Direct equivalent - naval maintenance efficiency
navy_movement_speed,,none,EU5-specific navy movement (EU4 has movement_speed_in_fleet_modifier)
