subsection,modifier,example,description,effect_type
Economy,global_allowed_num_of_buildings,1,Adds to the number of allowed buildings in every owned province.,Additive
Economy,global_allowed_num_of_manufactories,1,Adds to the number of allowed manufactories in every owned province.,Additive
Economy,build_cost,-0.1,Modifies all building costs.,Multiplicative
Economy,build_time,-0.25,Modifies all building construction times.,Multiplicative
Economy,great_project_upgrade_cost,-0.25,Modifies all great project upgrade costs.,Multiplicative
Economy,great_project_upgrade_time,-0.1,Modifies the time needed to upgrade a great project.,Multiplicative
Economy,global_monthly_devastation,0.1,Adds to the devastation rate in all provinces.,Additive
Economy,global_prosperity_growth,0.1,Adds to the prosperity rate in all provinces.,Additive
Economy,administrative_efficiency,0.2,"Modifies the base core creation cost, diplo-annexation costs and the impact of province development on overextension and warscore cost.",Multiplicative
Economy,free_concentrate_development,yes,Allows a country to concentrate development without the cost.,Constant
Economy,expand_infrastructure_cost_modifier,-0.25,Modifies the adm and government reform progress cost for expanding infrastructure.,Multiplicative
Economy,centralize_state_cost,-0.1,Modifies the adm and government reform progress cost for centralizing a state.,Multiplicative
Core Creation,core_creation,-0.1,Modifies the base core creation cost.,Multiplicative
Core Creation,core_decay_on_your_own,-0.1,Modifies the rate at which the cores of a country will decay when under the ownership of a different country.,Multiplicative
Core Creation,enemy_core_creation,0.2,Modifies the cost of coring provinces for enemies that have your cores.,Multiplicative
Core Creation,ignore_coring_distance,yes,"Allows coring in any uncored province, regardless of distance.",Constant
Technology,<tech>_cost_modifier,-0.1,Modifies the monarch power cost of <tech> technologies. Generated automatically for all technology tables in /Europa Universalis IV/common/technology.txt.,Multiplicative
Technology,technology_cost,-0.1,Modifies the monarch power cost of all technologies.,Multiplicative
Technology,idea_cost,-0.1,Modifies the monarch power cost of purchasable ideas.,Multiplicative
Technology,embracement_cost,-0.1,Modifies the ducat cost for embracing an institution.,Multiplicative
Technology,global_institution_spread,0.1,Modifies the rate of spread for institutions in all owned provinces.,Multiplicative
Technology,institution_spread_from_true_faith,0.1,Modifies the rate of spread for institutions in owned provinces following the owner's religion.,Multiplicative
Technology,native_advancement_cost,-0.2,Modifies the monarch power cost of native advancements.,Multiplicative
Technology,all_power_cost,-0.1,Modifies the monarch power cost of every action that costs monarch power.,Multiplicative
Technology,innovativeness_gain,0.5,Modifies the amount of innovativeness gained.,Multiplicative
Technology,yearly_innovativeness,0.25,Adds to the yearly rate of innovativeness.,Additive
Technology,free_adm_policy,1,Modifies the amount of free administrative policies.,Additive
Technology,free_dip_policy,1,Modifies the amount of free diplomatic policies.,Additive
Technology,free_mil_policy,1,Modifies the amount of free military policies.,Additive
Technology,possible_adm_policy,1,Modifies the amount of administrative policy slots.,Additive
Technology,possible_dip_policy,1,Modifies the amount of diplomatic policy slots.,Additive
Technology,possible_mil_policy,1,Modifies the amount of military policy slots.,Additive
Technology,possible_policy,1,Modifies the amount of all policy slots.,Additive
Technology,free_policy,1,Modifies the amount of all free policies.,Additive
Technology,country_admin_power,1,Modifies the monthly administrative power a country generates.,Additive
Technology,country_diplomatic_power,1,Modifies the monthly diplomatic power a country generates.,Additive
Technology,country_military_power,1,Modifies the monthly military power a country generates.,Additive
Court,prestige,0.5,Adds to the base yearly rate of prestige.,Additive
Court,prestige_decay,-0.01,Adds to the base rate of prestige decay.,Additive
Court,monthly_splendor,1,Adds to the monthly rate of splendor points.,Additive
Court,yearly_corruption,-0.1,Adds to the yearly rate of corruption.,Additive
Court,advisor_cost,-0.25,Modifies the base cost of advisors.,Multiplicative
Court,same_culture_advisor_cost,-0.2,Modifies the advisor cost for advisors that share the same culture as the country's court they're in.,Multiplicative
Court,same_religion_advisor_cost,-0.2,Modifies the advisor cost for advisors that share the same religion as the country's court they're in.,Multiplicative
Court,advisor_pool,1,Adds to the pool size for advisors.,Additive
Court,female_advisor_chance,0.1,Modifies the base chance rate for female advisors.,Multiplicative
Court,heir_chance,0.5,Modifies the base chance for an heir during the heir generation tick.,Multiplicative
Court,monthly_heir_claim_increase,0.05,Adds to the monthly change of heir claim.,Additive
Court,monthly_heir_claim_increase_modifier,0.1,Modifies the monthly change of heir claim.,Multiplicative
Court,block_introduce_heir,yes,Disallows the country to use the 'Introduce New Heir' interaction.,Constant
Court,monarch_admin_power,1,"Adds to the base ADM skill a ruler, heir and consort can be generated with. Does not affect rulers created with fixed = yes.",Additive
Court,monarch_diplomatic_power,1,"Adds to the base DIP skill a ruler, heir and consort can be generated with. Does not affect rulers created with fixed = yes.",Additive
Court,monarch_military_power,1,"Adds to the base MIL skill a ruler, heir and consort can be generated with. Does not affect rulers created with fixed = yes.",Additive
Court,adm_advisor_cost,-0.1,Modifies the cost of hiring an administrative advisor.,Multiplicative
Court,dip_advisor_cost,-0.1,Modifies the cost of hiring an diplomatic advisor.,Multiplicative
Court,mil_advisor_cost,-0.1,Modifies the cost of hiring an military advisor.,Multiplicative
Court,monthly_support_heir_gain,0.1,Modifies the monthly gain in support for the heir of a country in a country that uses the ‘Elective Monarchy’ mechanics.,Multiplicative
Court,power_projection_from_insults,0.1,Modifies the amount of power projection gained when using the ‘Insult’ diplomatic action.,Multiplicative
Court,monarch_lifespan,0.1,Modifies the average lifespan of a ruler.,Multiplicative
Court,local_heir_adm,1,Adds to the base ADM skill that non-foreign heirs for Elective Monarchy can be generated with.,Additive
Court,local_heir_dip,1,Adds to the base DIP skill that non-foreign heirs for Elective Monarchy can be generated with.,Additive
Court,local_heir_mil,1,Adds to the base MIL skill that non-foreign heirs for Elective Monarchy can be generated with.,Additive
Court,national_focus_years,-1,Adds to the cooldown of setting the national focus,Additive
Government,yearly_absolutism,0.1,Adds to the yearly base rate of absolutism.,Additive
Government,max_absolutism,10,Adds to the maximum value of absolutism. Internally absolutism bonuses do not scale above 100.,Additive
Government,max_absolutism_effect,0.1,Modifies the maximum effect of absolutism on modifiers.,Multiplicative
Government,legitimacy,1,Adds to the yearly rate of legitimacy.Does not appear or have an effect if a country's government does not use legitimacy.,Additive
Government,republican_tradition,0.5,Adds to the yearly rate of republican tradition.Does not appear or have an effect if a country's government does not use republican tradition.,Additive
Government,devotion,1,Adds to the yearly rate of devotion.Does not appear or have an effect if a country's government does not use devotion.,Additive
Government,horde_unity,1,Adds to the yearly rate of horde unity.Does not appear or have an effect if a country's government does not use horde unity.,Additive
Government,meritocracy,1,Adds to the yearly rate of meritocracy. Does not appear or have an effect if a country's government does not use meritocracy.,Additive
Government,<government_power_type_id>_gain_modifier,0.05,Modifies the gain of power from the add_government_power effect for governments with the particular mechanic.,Multiplicative
Government,monthly_<government_power_type_id>,0.05,Adds to the monthly rate of power for governments with the particular mechanic.,Additive
Government,yearly_government_power,0.5,Adds to the yearly rate of power for governments with mechanics.,Additive
Government,<faction>_influence,0.1,Adds to the monthly rate of faction influence. Generated automatically for all factions in /Europa Universalis IV/common/factions.,Additive
Government,imperial_mandate,0.1,Adds to the rate of Mandate gained per month.,Additive
Government,election_cycle,1,"Adds to the duration of an election cycle for the current nation. Negative values shorten the duration, positive values add to it.",Additive
Government,candidate_random_bonus,1,Adds to the randomized stats a republican candidate may receive during elections.,Additive
Government,reelection_cost,-0.1,Modifies the cost in Republican Tradition when re-electing candidates.,Multiplicative
Government,max_terms,2,,Additive
Government,governing_capacity,100,Adds to the base governing capacity.,Additive
Government,governing_capacity_modifier,0.1,Modifies the base governing capacity.,Multiplicative
Government,governing_cost,-0.1,Modifies the governing capacity usage of all provinces.,Multiplicative
Government,state_governing_cost,-0.1,Modifies the governing capacity usage of states.,Multiplicative
Government,territories_governing_cost,-0.1,Modifies the governing capacity usage of territories.,Multiplicative
Government,trade_company_governing_cost,-0.1,Modifies the governing capacity usage of trade companies.,Multiplicative
Government,state_governing_cost_increase,-20,Adds to the governing capacity usage of states.,Additive
Government,expand_administration_cost,0.1,Modifies the cost of the ‘Expand Administration’ action.,Multiplicative
Government,yearly_revolutionary_zeal,0.1,Adds to the yearly base rate of revolutionary zeal.,Additive
Government,max_revolutionary_zeal,10,Adds to the maximum value of revolutionary zeal. Internally revolutionary zeal bonuses do not scale above 100.,Additive
Government,reform_progress_growth,0.1,Changes the rate of government reform progress gain from autonomy.,Multiplicative
Government,monthly_reform_progress,0.5,"Adds to the rate of government reform progress gain (this is modified by monthly_reform_progress_modifier, but not by reform_progress_growth).",Additive
Government,monthly_reform_progress_modifier,0.1,Changes the rate of government reform progress gain (both from monthly_reform_progress as well as the progress from autonomy).,Multiplicative
Government,move_capital_cost_modifier,-0.1,Modifies the amount of needed admin power to move the capital.,Multiplicative
Government,can_revoke_parliament_seats,yes,Allows a country to remove seats from a province.,Constant
Government,parliament_backing_chance,0.25,Modifies how many seats will back an issue in general.,Multiplicative
Government,parliament_effect_duration,5,Adds to the years for the effect duration of passed issue.,Additive
Government,parliament_debate_duration,5,Adds to the years of debate duration for an issue.,Additive
Government,parliament_chance_of_decision,0.1,Adds to the chance for the debate to be ended after debate duration.,Multiplicative
Government,num_of_parliament_issues,1,Adds to the maximum number of issues a country can pick from.,Additive
Government,max_possible_parliament_seats,8,Defines the minimum amount of seats needed,Additive
Estates,<estate>_influence_modifier,0.1,Modifies to the influence of the specified estate. These modifiers are defined in /Europa Universalis IV/common/estates_preload.,Multiplicative
Estates,<estate>_loyalty_modifier,0.1,Modifies to the loyalty equilibrium of the specified estate. These modifiers are defined in /Europa Universalis IV/common/estates_preload.,Multiplicative
Estates,<estate>_privilege_slots,1,Adds to the number of possible privilege slots on the specified estate. These modifiers are defined in /Europa Universalis IV/common/estates_preload.,Additive
Estates,all_estate_influence_modifier,0.1,Modifies to the influence of all estates in the country,Multiplicative
Estates,all_estate_loyalty_equilibrium,0.1,Modifies to the loyalty equilibrium of all estates in the country.,Multiplicative
Estates,all_estate_possible_privileges,1,Adds to the number of possible privilege slots on all estates in the country.,Additive
Estates,allow_free_estate_privilege_revocation,yes,Allows to revoke estate privileges without having the loyalty higher than the estates influence,Constant
Estates,loyalty_change_on_revoked,0.05,Modifies the estate loyalty hit when a privilege is revoked.,Multiplicative
Estates,estate_interaction_cooldown_modifier,-0.2,Modifies the cooldown of the estate interactions like Seizing Land.,Multiplicative
Holy Roman Empire,imperial_authority,0.05,Modifies the impact of imperial authority gains.,Multiplicative
Holy Roman Empire,imperial_authority_value,0.1,Adds to the rate of imperial authority gained per month.,Additive
Holy Roman Empire,free_city_imperial_authority,0.1,Adds to the rate of imperial authority gained per month from Free Cities.,Additive
Holy Roman Empire,reasons_to_elect,10,Adds to the reasons a country should elect you as emperor,Additive
Holy Roman Empire,imperial_mercenary_cost,-0.1,Modifies the cost of mercenary companies for nations within the Holy Roman Empire.,Multiplicative
Holy Roman Empire,max_free_cities,3,Adds to the maximum number of free cities allowed.,Additive
Holy Roman Empire,max_electors,3,Adds to the maximum number of electors allowed.,Additive
Holy Roman Empire,legitimate_subject_elector,50,Adds to the elector desire for the current country to become Emperor (if they are a valid choice).,Additive
Holy Roman Empire,manpower_against_imperial_enemies,0.1,Adds to the total manpower pool when at war (doesn't matter if you are rivals),Additive
Holy Roman Empire,imperial_reform_catholic_approval,15,"Adds reasons for the country its applied to to vote for a reform of the Holy Roman Empire. This only has an effect on AI members of the HRE. The name of the modifier is confusing, because the modifier has nothing to do with religion at all and is also not a global modifier applied to the Emperor.",Additive
Culture,culture_conversion_cost,-0.25,Modifies the diplomatic power cost for culture conversion in provinces.,Multiplicative
Culture,culture_conversion_time,-0.1,Modifies the speed for culture conversion in provinces.,Multiplicative
Culture,num_accepted_cultures,1,Adds to the maximum number of accepted cultures a country can have.,Additive
Culture,promote_culture_cost,-0.25,Modifies the diplomatic power cost for promoting a culture.,Multiplicative
Culture,relation_with_same_culture,5,Modifiers this countries opinion of countries whose primary culture is the same.,Additive
Culture,relation_with_same_culture_group,5,Modifies this countries opinion of countries whose primary culture is in the same culture group but do not share the same primary culture.,Additive
Culture,relation_with_accepted_culture,5,Modifies this countries opinion of countries whose primary culture is an accepted culture.,Additive
Culture,relation_with_other_culture,5,Modifies this countries opinion of countries that are not within the same culture group and whose culture they do not accept.,Additive
Stability,can_not_declare_war,yes,Fobids a country from declaring wars,Constant
Stability,global_unrest,-2,Adds to the base unrest value.,Additive
Stability,stability_cost_modifier,-0.1,Modifies the administrative power cost of raising stability.,Multiplicative
Stability,global_autonomy,-0.05,Adds to the monthly rate of autonomy in owned provinces.,Additive
Stability,min_autonomy,50,Sets the minimum autonomy level allowed in all owned provinces.,Constant
Stability,autonomy_change_time,-0.25,Modifies the cooldown for the autonomy reduction and increase buttons.,Multiplicative
Stability,harsh_treatment_cost,-0.2,Modifies the military power cost for using harsh treatment.,Multiplicative
Stability,global_rebel_suppression_efficiency,-0.2,Modifies the efficiency of unrest reduction by units stationed in provinces or deployed for autonomous rebel suppression.,Multiplicative
Stability,years_of_nationalism,-5,Adds to the base separatism value of provinces when conquered.,Additive
Stability,min_autonomy_in_territories,0.1,Modifies the minimum autonomy experienced in territories.,Additive
Stability,unrest_catholic_provinces,-2,Modifies the local unrest in all provinces of the catholic religion,Additive
Stability,no_stability_loss_on_monarch_death,yes,Removes the stability penalty that occurs when ruler dies.,Constant
Stability,overextension_impact_modifier,-0.1,Modifies the impact of conquered provinces in regards to the overextension.,Multiplicative
Subject,vassal_forcelimit_bonus,0.2,Modifies the bonus to a country's forcelimit from their subjects.,Multiplicative
Subject,vassal_naval_forcelimit_bonus,0.2,Modifies the bonus to a country's naval forcelimit from their subjects.,Multiplicative
Subject,vassal_manpower_bonus,0.1,Modifies the bonus to a country's manpower from their subjects.,Multiplicative
Subject,vassal_sailors_bonus,0.1,Modifies the bonus to a country's sailors from their subjects.,Multiplicative
Subject,vassal_income,0.2,Modifies the bonus to a country's income from their subjects.,Multiplicative
Subject,overlord_naval_forcelimit,10,Adds to the bonus to a country's naval forcelimit to their overlord. Applied to the subject.,Additive
Subject,overlord_naval_forcelimit_modifier,0.3,Modifies the bonus to a country's naval forcelimit to their overlord. Applied to the subject.,Multiplicative
Subject,can_transfer_vassal_wargoal,yes,Allows usage of the ‘Transfer Subject’ peace term at half cost.,Constant
Subject,liberty_desire,-10,Adds to subject liberty desire against their overlord.,Additive
Subject,liberty_desire_from_subject_development,-0.25,"Modifies the subject liberty desire from development against their overlord (Note: Tooltip is bugged as of 1.29. A modifier of -0.2 shows as ""-0.20%"" when it reduces it by 20%).",Multiplicative
Subject,reduced_liberty_desire,10,Adds to the liberty desire subjects have against their overlord. Applied to the overlord.,Additive
Subject,reduced_liberty_desire_on_same_continent,10,Adds to the liberty desire subjects have against their overlord if on the same continent. Applied to the overlord.,Additive
Subject,reduced_liberty_desire_on_other_continent,10,Adds to the liberty desire subjects have against their overlord if on the other continent. Applied to the overlord.,Additive
Subject,allow_client_states,yes,Allows a country to create client states.,Constant
Subject,colonial_type_change_cost_modifier,-0.2,Modifies the cost of changing colonial type.,Multiplicative
Subject,colonial_subject_type_upgrade_cost_modifier,-0.2,Modifies the cost of upgrading colonial subject type.,Multiplicative
Subject,years_to_integrate_personal_union,-5,Adds to the years it takes to integrate a personal union,Additive
Subject,chance_to_inherit,0.5,Modifies the chance to inherit a personal union when ruler dies.,Multiplicative
Subject,monarch_power_tribute,1,Adds to the yearly monarch power tribute a tributary pays to its overlord.,Additive
Subject,tributary_conversion_cost_modifier,-0.5,"Modifies the cost of the mandate that is required to turn a tributary into a vassal, which is unlocked via the final reform of the mandate.",Multiplicative
Subject,annexation_relations_impact,-0.25,Modifies the impact of the relations applied to all subjects when their overlord is annexing a subject. Applied to the overlord.,Multiplicative
Espionage,spy_offence,0.1,Modifies the base effectiveness of spies against enemies.,Multiplicative
Espionage,global_spy_defence,0.1,Modifies the base effectiveness of counter-espionage against enemy spies.,Multiplicative
Espionage,fabricate_claims_cost,-0.2,Modifies spy network cost for fabricating claim.,Multiplicative
Espionage,claim_duration,0.2,Modifies the duration of claims. (not used in vanilla),Multiplicative
Espionage,can_chain_claim,yes,Allows to chain claims,Constant
Espionage,discovered_relations_impact,-0.1,Modifies the relations impact applied to a country when discovered committing an espionage action.,Multiplicative
Espionage,rebel_support_efficiency,0.5,Modifies the effectiveness of supported rebels in other countries.,Multiplicative
Espionage,can_claim_states,yes,Allows to fabricate claims on areas instead of provinces.,Constant
Espionage,no_claim_cost_increasement,yes,Removes the additional cost for fabricating a claim if a country already have a claim on the target country.,Constant
Espionage,spy_action_cost_modifier,-0.2,Modifies the spy network costs of all spy actions.,Multiplicative
Religion,global_missionary_strength,0.03,Adds to the base missionary strength against all religions.,Additive
Religion,global_heretic_missionary_strength,0.03,Adds to the base missionary strength against heretic religions.,Additive
Religion,global_heathen_missionary_strength,0.03,Adds to the base missionary strength against heathen religions.,Additive
Religion,can_not_build_missionaries,yes,Forbids a country to convert provinces with missionaries.,Constant
Religion,may_not_convert_territories,yes,Forbids a country to convert territory provinces with missionaries.,Constant
Religion,missionaries,1,Adds to the base missionary count for a country.,Additive
Religion,missionary_maintenance_cost,-0.1,Modifies the cost of missionary maintenance while converting provinces.,Multiplicative
Religion,religious_unity,0.5,Adds to the base religious unity value for a country.,Additive
Religion,tolerance_own,1,Adds to the base tolerance for the true faith within a country.,Additive
Religion,tolerance_heretic,1,Adds to the base tolerance for heretics within a country.,Additive
Religion,tolerance_heathen,1,Adds to the base tolerance for heathens within a country.,Additive
Religion,tolerance_of_heretics_capacity,1,Adds to the maximum tolerance for heretics within a country.,Additive
Religion,tolerance_of_heathens_capacity,1,Adds to the maximum tolerance for heathens within a country.,Additive
Religion,papal_influence,0.5,Adds to the rate of papal influence gained per year.,Additive
Religion,papal_influence_from_cardinals,1.0,Modifiers the papal influence gain from holding cardinals.,Multiplicative
Religion,appoint_cardinal_cost,-0.5,Modifiers the cost of appointing a cardinal.,Multiplicative
Religion,curia_treasury_contribution,0.1,Modifies the amount of treasury contribution to the Curia.,Multiplicative
Religion,curia_powers_cost,0.1,Modifies the papal influence cost of the curia actions.,Multiplicative
Religion,monthly_church_power,0.02,Adds to the monthly gained churchpower,Additive
Religion,church_power_modifier,0.5,Modifies the effectiveness of church power gains.,Multiplicative
Religion,monthly_fervor_increase,1,Adds to the rate of fervor gained per month.,Additive
Religion,yearly_patriarch_authority,0.1,Adds to the amount of yearly patriarch authority gained.,Additive
Religion,monthly_piety,0.1,Adds to the rate of piety gained per month.,Additive
Religion,monthly_piety_accelerator,0.001,Increases the rate of piety gained per month when piety is above zero. Reduces the rate of piety gained per month when piety is below zero.,Additive
Religion,harmonization_speed,0.2,Modifies the rate at which harmonization occurs.,Multiplicative
Religion,yearly_harmony,1,Adds to the rate of harmony gained per year.,Additive
Religion,monthly_karma,0.1,Adds to the rate of karma gained per month.,Additive
Religion,monthly_karma_accelerator,0.02,Increases the rate of karma gained per month when karma is above zero. Reduces the rate of karma gained per month when karma is below zero.,Additive
Religion,yearly_karma_decay,0.005,Modifies the yearly decay rate of Karma towards 0.,Multiplicative
Religion,yearly_doom_reduction,0.5,Adds to the yearly reduction rate of doom.,Additive
Religion,yearly_authority,1,Adds to the rate of Inti authority gained per year.,Additive
Religion,enforce_religion_cost,-0.5,Modifies the war score cost for the Enforce Religion peace term.,Multiplicative
Religion,prestige_per_development_from_conversion,0.5,Adds to the prestige bonus gained per development when successfully converting a province to a state religion.,Additive
Religion,warscore_cost_vs_other_religion,-0.25,Modifies the war score costs for peace terms while in war against countries of a different religion.,Multiplicative
Religion,establish_order_cost,-0.1,Modifies the cost for using the ‘Establish Order’ action.,Multiplicative
Religion,global_religious_conversion_resistance,-0.1,Adds to conversion resistance from centres of reformation in all provinces.,Multiplicative
Religion,relation_with_same_religion,5,Adds to this countries opinion towards other countries with the same religion.,Additive
Religion,relation_with_heretics,-20,Adds to this countries opinion towards other countries with heretic religions.,Additive
Religion,relation_with_heathens,-10,Adds to this countries opinion towards other countries with heathen religions.,Additive
Religion,reverse_relation_with_same_religion,25,Adds to the opinion of OTHER countries with the same religion towards this country.,Additive
Religion,reverse_relation_with_heretic_religion,25,Adds to the opinion of OTHER countries with heretic religions towards this country.,Additive
Religion,reverse_relation_with_heathen_religion,25,Adds to the opinion of OTHER countries with heathen religions towards this country.,Additive
Religion,no_religion_penalty,yes,Removes the penalties associated with negative religious tolerance.,Constant
Religion,extra_manpower_at_religious_war,yes,Grants an increase in manpower recovery by a factor of 3 during religious wars.,Constant
Colonisation,can_not_build_colonies,yes,Forbids the country to form colonies,Constant
Colonisation,colonists,1,Modifies the base colonist count for a country.,Additive
Colonisation,colonist_placement_chance,0.05,"Adds to the base colonial placement chance for colonists, which is the chance that additional settlers will be spawned while the colonist is present.",Additive
Colonisation,global_colonial_growth,10,Adds to the base yearly colonial growth gain.,Additive
Colonisation,colony_cost_modifier,1,Modifies the colonial maintenance cost for a country.,Multiplicative
Colonisation,range,0.5,"Modifies the base colonisation range, used for exploration, colonisation and coring province that border sea.",Multiplicative
Colonisation,native_uprising_chance,-0.25,Adds to the chance of native uprisings in a colony province.,Multiplicative
Colonisation,native_assimilation,0.25,Modifies the bonus from assimilation in colonies. Native assimilation is bonus to goods produced depends on the native population.,Multiplicative
Colonisation,migration_cost,-0.2,Modifies the cost for the migration action for primitive nations that can migrate.,Multiplicative
Colonisation,global_tariffs,0.25,Modifies the tariff income from colonial nations.,Multiplicative
Colonisation,treasure_fleet_income,0.1,Modifies the income from treasure fleets sent by colonial nations.,Multiplicative
Colonisation,expel_minorities_cost,-0.1,Modifies the cost of using the ‘Expel Minorities’ action.,Multiplicative
Colonisation,may_explore,yes,Allows the recruitment of explorers and conquisadors.,Constant
Colonisation,auto_explore_adjacent_to_colony,yes,Grants the abiliy to automatically discover undiscovered provinces adjacent to colonies.,Constant
Colonisation,may_establish_frontier,yes,Allows the usage of the Siberian frontier mechanic.,Constant
Colonisation,free_maintenance_on_expl_conq,yes,Removes maintenance cost for explorers and conquisadors.,Constant
Colonisation,colony_development_boost,1,"Grants bonus tax, production and manpower on completed colonies.",Additive
Trade,caravan_power,0.2,Modifies the bonus trade power inland nodes receive from trade power sources.,Multiplicative
Trade,can_not_send_merchants,yes,Forbids a nations to send merchants to trade nodes,Constant
Trade,merchants,1,Adds to the base merchant count for a country.,Additive
Trade,placed_merchant_power,3,Adds to the additional trade power when a merchant present in a trade node.,Additive
Trade,placed_merchant_power_modifier,0.5,Modifies the additional trade power when a merchant present in a trade node.,Multiplicative
Trade,global_trade_power,0.1,Modifies the trade power in all trade nodes for a country.,Multiplicative
Trade,global_foreign_trade_power,0.1,Modifies the trade power for a country in trade nodes that are not domestic.,Multiplicative
Trade,global_own_trade_power,0.1,Modifies the trade power for a country in trade nodes that are domestic.,Multiplicative
Trade,global_prov_trade_power_modifier,0.1,Modifies the base trade power of owned provinces.,Multiplicative
Trade,global_trade_goods_size_modifier,0.1,Modifies the base trade good size of owned provinces.,Multiplicative
Trade,global_trade_goods_size,0.1,Adds to the trade good size in a country,Additive
Trade,trade_efficiency,0.1,Modifies a country's trade income. (Maximum is 200%),Multiplicative
Trade,trade_range_modifier,0.25,Modifies the trade range used to determine if a country can place a merchant in a trade node.,Multiplicative
Trade,trade_steering,0.1,"Modifies the bonus to trade power used for steering when determining which outgoing node trade is steered to. If you have a merchant present, it also slightly increases the outgoing value.",Multiplicative
Trade,global_ship_trade_power,0.2,Modifies the trade power ships grant when protecting trade.,Multiplicative
Trade,privateer_efficiency,0.2,Modifies the effectiveness of privateers in a trade node.,Multiplicative
Trade,embargo_efficiency,0.25,Modifies the effectiveness of embargoing another country.,Multiplicative
Trade,ship_power_propagation,0.1,Modifies the propagation of trade power from ships protecting trade.,Multiplicative
Trade,center_of_trade_upgrade_cost,-0.1,Modifies the cost of upgrading a center of trade in a province.,Multiplicative
Trade,trade_company_investment_cost,-0.1,Modifies the cost of purchasing a trade company investment in a state.,Multiplicative
Trade,mercantilism_cost,-0.1,Modifies the cost of the ‘Boost Mercantilism’ action.,Multiplicative
Trade,reduced_trade_penalty_on_non_main_tradenode,0.25,Modifies the trade power penalty from collecting in your non-main trade nodes.,Multiplicative
